BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Sweden"
"Country: Sweden"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","IE:Ireland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","SE:Sweden",Q:S:IE:4R:U:C:A:A:TO1:R:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,530,298,308,453,638,1195,1689,1883,2370,2429,2057,1605,1076,1082,1151,893,862,755,841,739,653,587,385,140,135,105,99,102,125,133,98,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:JP:4R:U:C:V:A:TO1:A:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,118,83,73,76,118,90,128,100,134,152,134,236,143,96,114,39,43,64,40,44,68,65,44,25,52,113,87,45,68,44,26,54,45,31,21.1,38.5,32.4,30.1,57.1,38,24.3,24.7
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:FI:4R:U:X:A:A:TO1:A:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,\,\,\,375,376,392,281
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:IT:4R:Q:C:A:A:TO1:A:SE,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-19,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:CH:4R:U:C:A:A:TO1:A:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","SE:Sweden",Q:S:AU:4R:U:C:A:A:TO1:B:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,354,451,506,121,238,308,87,106,187,475,107,213,257,563,690,644,557,816,602,687,510,493,495,711,1307,1863,1059,1479,1840.102,1337.168,1858.322,1730.97,2084.368,1462.335,1602.16,1042.519,2068.651,560.109,723.307,270.631,1215.666,302.89
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:AT:4R:F:I:A:A:TO1:A:SE,,,,,,,836,-,787,830,707,732,744,685,316,297,320,351,343,335,357,380,425,442,516,559,512,496,677,475,663,642,632,841,935,833,924,1257,1188,1347,1664,1547,1872,2214,1642,1557,2198,2475,2333,1915,1605,1603,1716,2108,2134,2062,1807,1853,1824,1790,1771,1617,1910,1906,1908.953,2115.303,1785.426,1641.873,1670.422,1877.282,1275.862,1183.37
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","SE:Sweden",Q:S:CH:4R:U:C:A:A:TO1:R:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4B:Domestic Banks","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:SE:4B:U:C:V:A:TO1:A:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18432.674,17806.913,19273.014,22282.532,23326.344,24463.844,17877.967,19243.93
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:JP:4R:F:I:A:A:TO1:A:SE,,,,,,,4714,-,5593,7175,7837,7111,6961,6272,7571,9346,7559,7116,7022,6299,7024,6314,7004,7744,8631,7677,8084,8202,8368,7931,7852,8995,9017,8975,10472,9938,11309,11800,12321,14215,13794,14472,14948,14990,13515,12474,14690,16426,15694,16704,16333,17823,16844,18949,19388,16579,14597,13944,16759,20226,20649,20660,21032,21540,21604,23244,22249,21834,19679.8,20184.3,21122.9,21059
