BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Ukraine"
"Country: Ukraine"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","UA:Ukraine",Q:S:SE:4R:U:C:A:A:TO1:A:UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2772,\,\,\,\,\,1337,1167,872,746,108,147,128.531,83.71,72.297,102.173,95.924,71.28,44.624,56.117
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","UA:Ukraine",Q:S:GB:4R:U:C:A:A:TO1:O:UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,-22,-39,79,113,96,41,-,-78,88,-2,4,-6,30,23,6,-,3,6,36,115,75,208,125,204,72,26,43,67,72,165,167,257,171,52,66,715,691,383,-14,-1,-13,-11
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","UA:Ukraine",Q:S:5A:4O:F:I:A:A:TO1:A:UA,280,-,708,-,877,-,978,-,969,-,944,-,1010,-,1262,-,1807,-,1508,-,1332,-,1098,-,1021,1060,946,735,810,803,734,843,1064,942,986,876,1057,1037,1197,1631,2047,2082,2454,2960,3896,4694,5384,6151,9219,10900,11181,14160,16415,18464,22845,26861,31165,34997,38359,36679,33483,30273,26476,24147,22328,25438,24160,23267,23940,23027,22671,21146,20144,20925,19532.125,19863.147,18689.155,18357.414,16231.368,15601.343,16559.986,16550.408,15266.411,13132.352,9846.537,9673.107,9402.516,8959.431
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","UA:Ukraine",Q:S:ES:4R:Q:C:A:A:TO1:A:UA,,,,,,,,,,,,,,,,,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-41.602,-36.482,-37.016,-36.515
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","UA:Ukraine",Q:S:TW:4R:F:C:A:A:TO1:A:UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,24,\,\,\,\,\,\,\,\,\,\,\,6,7,6,6,5,5,4,3
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","UA:Ukraine",Q:S:SE:4R:U:X:A:A:TO1:A:UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3,\,\,\,\,\,1,1,1,1,1,1,0.399,0.117,0.198,1.796,2.807,0.581,0.194,0.031
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","UA:Ukraine",Q:S:5A:4O:F:I:A:U:TO1:A:UA,216,-,165,-,262,-,242,-,193,-,317,-,380,-,535,-,1045,-,699,-,541,-,462,-,408,438,375,330,419,421,383,482,658,570,628,522,616,542,557,751,944,916,1298,1111,1476,2062,2462,2768,4300,4627,4455,5601,7845,6945,8552,10481,16114,14680,18380,18443,13098,11568,10277,9125,10156,9099,9796,8580,9040,8748,8536,7568,7346,8681,7918.022,8103.059,6818.07,6994.047,5529.026,5538.012,6557.287,6692.762,6138.393,5394.717,3663.419,3456.555,3217.023,3125.138
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","UA:Ukraine",Q:S:IT:4R:U:C:A:A:TO1:A:UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,6462,\,\,\,\,\,\,\,\,\,\,\,6280.238,5440.859,4915.017,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","UA:Ukraine",Q:S:IT:4R:U:C:A:A:TO1:F:UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.475,23.628,20.426,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","UA:Ukraine",Q:S:5A:4R:F:B:A:A:LC1:A:UA,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,21,-,52,-,27,-,31,40,40,53,58,81,87,86,86,171,164,256,289,277,313,290,435,538,330,270,307,581,826,919,3248,2699,3143,6241,7064,8181,9607,12684,16507,17622,18200,20054,14489,13766,14489,14603,14408,15821,16562,16999,16908,15949,15696,14931,14270,16467,14324,14079,12925,12774,11948,11860,11639.15,8804.142,7876.158,7179.67,7007.765,5365.139,6012.306,6008.896
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","UA:Ukraine",Q:S:GR:4R:U:C:A:A:TO1:O:UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,324,306,280,255,186,104,115,144
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","UA:Ukraine",Q:S:GR:4R:U:C:A:A:TO1:R:UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1051,944,885,835,758,705,689,660
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","UA:Ukraine",Q:S:GB:4R:U:C:A:A:TO1:R:UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,23,87,86,23,28,50,55,73,98,259,243,244,374,353,272,257,235,157,142,149,263,293,296,229,297,308,229,217,188,173,168,175,114,120,107,137,135,76,76,31,31,33
