BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Norway"
"Country: Norway"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NO:Norway",Q:S:SE:4R:U:X:A:A:TO1:A:NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3061,8737,9341,6316,7956,12304,15493,14356,14262,15715,16466,17873,18311,16617,15692,12600,11550,14333,14744,13267,12114,16400,18139,19925,20638,20362,19467,18724,17394,16447,16696,23244,22350,23872,23379.562,25280.866,21014.575,21815.553,22636.815,31706.157,32273.542,30637.313
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","NO:Norway",Q:S:IT:4R:U:C:A:A:TO1:F:NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.022,519.784,533.17,573.22,687.414,507.876,491.583,492.92
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","NO:Norway",Q:S:5A:4O:F:B:A:A:LC1:A:NO,,,,,,,4363,-,6384,5946,4528,5539,5176,5756,5590,6999,8721,8187,11834,12127,11756,13610,15028,12951,13605,15842,14653,18318,55127,69747,66017,69092,70518,79671,91185,87654,91963,102082,113127,127593,136008,147876,158172,139679,118007,129636,138044,151771,155174,143486,135376,149765,150098,162280,167178,155463,148786,154592,149477,159957,161202,151155,146519,150891,149960.397,152673.58,156354.113,150541.606,132943.25,135162.882,148159.931,134704.996
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NO:Norway",Q:S:KR:4R:Q:C:A:A:TO1:A:NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-44.988,-57.582,-38.724,-55.692
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NO:Norway",Q:S:JP:4R:U:X:A:A:TO1:A:NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,256,435,464,454,445,452,452,456,403,274,323,219,184,163,120,75,216,196,57,36,42,76,239,500,742,703,659,382,348,339,300,267,268,423,494.2,565.1,938.4,819.4,914.3,835.8,1158.7,1154.7
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","NO:Norway",Q:S:CH:4R:F:I:A:U:TO1:A:NO,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1939.424,2407.137,2770.758,2125.037,1997.071,1972.004,1477.28,1478.015
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NO:Norway",Q:S:KR:4R:U:C:A:A:TO1:A:NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.869,11.668,13.385,12.506,131.649,96.952,115.086,98.331
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","NO:Norway",Q:S:SE:4R:F:B:A:A:LC1:A:NO,,,,,,,3268,-,5342,4823,3499,4890,4627,4951,4807,6139,7899,7465,10928,11191,10791,12333,13815,11714,12301,14405,13074,14401,50431,50835,47217,50535,50375,55799,65647,63829,66401,73138,81734,91715,96708,104052,114144,100304,83432,92895,100544,110462,114003,105478,99776,109875,109694,117458,120452,112239,108046,112115,108456,117014,120260,111688,109134,113277,111647.008,112210.107,114931.306,110679.614,97167.792,101126.062,111925.136,100079.907
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NO:Norway",Q:S:CA:4R:U:W:A:A:TO1:A:NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,113.539,115.884,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","NL:Netherlands","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NO:Norway",Q:S:NL:4R:F:C:A:A:TO1:A:NO,,,,,,,2831,-,2799,2346,2776,2366,1947,3237,2690,2704,1549,2164,2019,2347,2088,2375,3126,3557,3732,4753,3560,3968,3853,3805,5187,4259,4058,4988,5506,5915,4676,5362,8899,7620,5029,5835,4931,4751,6344,6632,6549,6306,6437,6849,5058,5626,5519,5864,6285,6660,7093,7361,5993,7061,5928,5964,5637,6290,6596.235,6262.51,6402.87,6017.191,6013.437,6270.345,6978.579,7190.085
