BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Czech Republic"
"Country: Czech Republic"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","CZ:Czech Republic",Q:S:CH:4R:U:C:A:A:TO1:R:CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CZ:Czech Republic",Q:S:SE:4R:F:I:A:A:TO1:A:CZ,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,415,223,134,174,111,392,88.39,168.454,148.144,108.318,235.158,88.327,270.275,330.518
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","CZ:Czech Republic",Q:S:TW:4R:F:I:A:U:TO1:A:CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,5,1,4,5,2,2,3,7,4,1,3,9,7,6,4,3,1,1,3,4,2,3,3,1,4,5,7,7,11,4,3,6,9,4,3,5,2,2,2,2,1,1,7,6,7,9,7,3,1,3,3,4,13,13,12,11,3,3
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","CZ:Czech Republic",Q:S:FR:4R:F:B:A:A:LC1:A:CZ,0,-,7,-,6,-,5,-,0,-,2,-,159,-,421,-,443,-,595,-,926,-,652,-,586,533,513,584,559,337,468,424,4965,5291,5749,5119,5008,5188,5036,5720,15001,18651,18710,16041,19659,19879,18676,20494,16098,16932,18116,20416,23693,23021,23108,24888,26889,33789,34478,29105,27585,25632,29284,30915,31669,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,29471
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CZ:Czech Republic",Q:S:TW:4R:F:I:A:A:TO1:A:CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,5,1,4,5,2,2,3,7,4,1,3,9,11,10,8,5,2,1,3,4,2,3,3,11,14,17,27,27,32,22,20,22,25,20,19,21,6,6,6,16,15,15,16,15,15,18,16,12,10,12,13,14,15,14,13,12,4,4
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CZ:Czech Republic",Q:S:AU:4R:Q:C:A:A:TO1:A:CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17,-12,-,-,-1,-1,-1,-,-3.167,-3.248,-2.971,-2.625,-0.804,-0.607,-0.559,-0.574,-0.57,-0.541,-0.496,-0.462,-3.397,-60.574
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","CZ:Czech Republic",Q:S:5A:4R:F:B:A:A:LC1:A:CZ,73,-,140,-,1543,-,1698,-,2468,-,2608,-,3951,-,4469,-,4192,-,5103,-,5831,-,5425,-,11397,10133,10548,9329,15364,13965,16277,18558,23126,24830,30712,26878,28172,30100,32357,34288,46705,47504,50050,47837,55815,55361,72332,74819,65414,68828,75165,81702,86681,93751,101883,117126,120628,146741,160105,144719,124153,122178,139995,151229,142155,138764,126299,148942,148712,169121,174169,156122,144141,167453,142138,149088,153100,150470,153168,158166,157147.734,159914.535,163989.786,153138.049,136006.741,125196.074,134687.589,139780.279
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CZ:Czech Republic",Q:S:ES:4R:Q:C:A:A:TO1:A:CZ,,,,,,,,,,,,,,,,,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2.857,1.866,1.037,0.793
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CZ:Czech Republic",Q:S:AT:4R:U:W:A:A:TO1:A:CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2803.497,2733.467,2805.055,2432.625,2137.523,1889.01,1915.636,1910.749
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","CZ:Czech Republic",Q:S:GB:4R:U:C:A:A:TO1:O:CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,41,46,228,101,485,943,368,918,660,2149,1631,1986,58,2094,59,6,5,200,326,1841,1047,1293,1508,1722,1771,1788,2143,3498,1965,1789,2024,1632,1398,1725,2696,1694,2819,3017,3328,2854,4252,4335
