BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Latvia"
"Country: Latvia"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","LV:Latvia",Q:S:CH:4R:U:C:V:A:TO1:A:LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,14.426,16.077,14.223,2.18,2.038,4.058,2.148,3.742
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","LV:Latvia",Q:S:FR:4R:U:C:A:A:TO1:R:LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,2,-,1,1,1,-,15,14,8,11,15,22,14,18,3,4,4,24,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,119
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","LV:Latvia",Q:S:IT:4R:U:C:A:A:TO1:A:LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,474,\,\,\,\,\,\,\,\,\,\,\,661.05,535.141,514.246,447.131,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","LV:Latvia",Q:S:IT:4R:U:C:A:A:TO1:R:LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,280,\,\,\,\,\,\,\,\,\,\,\,420.905,395.34,373.552,334.618,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","LV:Latvia",Q:S:5A:4R:U:C:A:A:TO1:O:LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,642,590,536,700,860,1028,1082,1059,1365,1437,1888,2972,2828,2564,2748,2354,2537,2576,2471,2389,2256,2166,1364,1687,1666,1457,1203,1381,1194,1184,1396,1313,1302,1327.505,4214.239,2466.868,1386.28,1118.151,2862.068,1138.724,2009.011,2582.027
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","LV:Latvia",Q:S:SE:4R:U:C:A:A:TO1:F:LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755.749,594.773,506.466,470.064,1703.73,349.277,660.785,498.83
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","LV:Latvia",Q:S:SE:4R:U:C:A:A:TO1:O:LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,131,143,181,221,264,236,265,285,279,319,354,369,291,519,296,317,265,264,158,109,136,145,234,266,211,146,134,142,139,177,166,213,240,3023.895,1279.596,390.397,314.938,2148.185,391.75,1319.01,1829.221
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","LV:Latvia",Q:S:IT:4R:U:C:A:A:TO1:B:LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,20,\,\,\,\,\,\,\,\,\,\,\,14.341,18.069,29.816,11.536,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","LV:Latvia",Q:S:CH:4R:U:C:A:A:TO1:A:LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","LV:Latvia",Q:S:SE:4R:U:C:A:A:TO1:A:LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4342,4441,6601,10847,13458,15739,18733,18811,20594,18481,19818,21944,22435,20501,20638,19084,19817,20697,19945,18057,16009,18120,16688,17579,17396,15962,14633,16482,13682,14242,14782,13995,14020,14723,15757.098,13535.004,12490.776,11370.759,12542.075,9496.876,10797.405,10918.092
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","LV:Latvia",Q:S:FI:4R:F:I:A:A:TO1:A:LV,0,-,0,-,-,-,-,-,0,-,0,-,0,-,0,-,6,-,5,-,23,-,33,-,35,-,50,-,72,-,96,-,98,95,73,70,113,116,151,154,151,180,199,207,236,242,290,359,503,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","LV:Latvia",Q:S:SE:4R:F:C:A:A:TO1:A:LV,,,,,,,,,,,,,,,,,1,-,1,-,1,-,2,-,1,-,2,-,31,-,51,-,485,583,686,673,828,858,951,1679,1318,1396,1554,1625,1045,1763,1966,2155,2462,2588,2763,3210,4258,4645,4858,5029,7294,11485,14292,16678,19900,18793,20573,18462,19694,21808,22428,20484,20614,19072,19818,20799,19949,18081,16056,18116,16681,17567,17382,16000,14628,16474,13684,14234,14772,13984,14007,14714,15738.456,13513.098,12461.978,11336.97,12515.931,9476.489,10793.681,10915.771
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","LV:Latvia",Q:S:SE:4R:U:C:A:A:TO1:B:LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2103,1932,3253,3722,4668,5583,6682,5444,5850,1674,2291,2375,2251,1610,1747,1637,1331,1258,1636,1433,1270,2001,1797,1840,1578,1375,1244,3153,1030,1132,1526,1554,1440,1811,17.327,2.723,2.666,2.462,2.265,3.78,4.04,3.613
