BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in France"
"Country: France"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FR:France",Q:S:KR:4R:U:W:A:A:TO1:A:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1603.707,1568.332,1526.896,1476.719,1448.819,1370.18,1091.408,1045.092
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FR:France",Q:S:GR:4R:U:C:A:A:TO1:A:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297,1438,1438,763,1069,912,1417,1321,1477,1825,1270,1097,1639,1044,1183,673,1623,948,922,2321,1965,1934,2579,2089,1736,1854,1876,2017,2147,1862,1686,1670,1262,1182,1457,1645,1631,1474,1183,1145,1127,1130,957
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FR:France",Q:S:5A:4R:F:I:A:A:TO1:A:FR,167,-,697,-,697,-,292965,-,299251,304171,311729,302299,313666,320903,319403,350440,311983,316915,383314,374003,381573,422786,461132,480018,507632,548168,572172,589674,664106,687750,656936,656924,643445,732626,790999,858608,888561,1058291,1090390,1115359,1073852,1225298,1176410,1010171,879794,850590,881096,992688,901688,938090,865115,954830,918076,925940,1032324,1008591,833030,911252,905475.408,951096.535,927808.902,992020.832,964250.539,1014466.228,971666.26,1036346.801,1088994.774,1012410.035,945144.793,959740.467,925499.319,908474.269
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","FR:France",Q:S:GR:4R:U:C:A:A:TO1:R:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,174,163,160,150,145,111,134,85
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","FR:France",Q:S:GB:4R:U:C:A:A:TO1:B:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69967,68954,71682,69689,87358,89591,101341,114013,141420,161082,172843,159399,167759,136246,131690,100958,89602,121580,122548,117603,150960,138237,153123,135278,151945,148857,140340,101192,104012,98914,95513,88452,111381,109683,95805,84213,91920,86118,84046,73592,59052,53354,53770
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","FR:France",Q:S:BE:4R:U:C:A:A:TO1:O:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9761,10370,11081,10599,16353,19060,18506,12916,11155,11282,11243,13049,12888,14528,10826,13005,9667,9809,9740,3452,3395,4883,5125,4900,5122,5138,4805,4110,10613,10340,10294,10752,12255,12433,13095,13100,13503,14030,12928,11291,5176,6146,6723
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FR:France",Q:S:GR:4R:F:C:A:A:TO1:A:FR,,,,,,,,,,,,,,,,,,,,,,,,,4191,4191,1682,1682,3602,3602,2295,2295,788,1208,1029,1516,1238,1700,2228,1198,1030,1556,939,1122,575,1564,888,854,2061,1866,1851,2525,1964,1675,1792,1817,1960,2088,1798,1618,1663,1255,1182,1458,1642,1628,1472,1181,1145,1127,1130,956
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4B:Domestic Banks","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FR:France",Q:S:FR:4B:Q:C:A:A:TO1:A:FR,,,,,,,,,,,,,,,,,,,,,,,0,-,-,-,-,-,0,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8137,9808,4170,-6718,9445,11799,8734,10379
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","FR:France",Q:S:CA:4R:U:C:V:A:TO1:A:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3280,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,14274.298,15003.507,9306.801,12186.556
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FR:France",Q:S:CA:4R:U:C:A:A:TO1:A:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,27872,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,32784.883,26608.764,29025.592,28762.19
