BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Slovakia"
"Country: Slovakia"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SK:Slovakia",Q:S:IT:4R:F:C:A:A:TO1:A:SK,,,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,19023,\,\,\,\,\,\,\,\,\,\,\,21210.331,20910.089,20628.942,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","SK:Slovakia",Q:S:JP:4R:U:C:V:A:TO1:A:SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,18,20,0,0,0,0,-,1,1,5,6,6,7,8,12,8,8,6,4.8,4.6,1.6
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SK:Slovakia",Q:S:CH:4R:U:C:A:A:TO1:A:SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SK:Slovakia",Q:S:IT:4R:F:I:A:A:TO1:A:SK,,,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,904,\,\,\,\,\,\,\,\,\,\,\,6972.159,6863.689,6716.887,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SK:Slovakia",Q:S:BE:4R:F:C:A:A:TO1:A:SK,2,-,2,-,14,-,19,-,6,-,42,-,59,-,99,-,139,-,141,-,133,-,91,-,1405,1421,1536,1147,1157,748,1340,1239,1298,1359,1483,1505,1788,1579,2143,2198,2520,2515,2732,2814,3269,3543,3598,3672,3716,5843,5860,4145,6486,8543,8202,6252,12260,10153,10899,12253,12850,8431,9367,8435,8194,7843,7697,8302,8080,8318,8727,8416,7799,8540,7697,8255,8452,8537,9425,9776,9801,10187,10313,9869,9777,9016,9416,9948
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SK:Slovakia",Q:S:IT:4R:U:C:A:A:TO1:A:SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,18541,\,\,\,\,\,\,\,\,\,\,\,20804.49,20662.691,20426.619,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","SK:Slovakia",Q:S:TW:4R:U:C:A:A:TO1:R:SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,-,1,-,2,2,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SK:Slovakia",Q:S:5A:4R:U:C:A:A:TO1:A:SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21073,35170,35830,33942,38774,40582,38337,45045,53506,55700,56761,72587,75923,83042,80170,87092,62205,66768,67811,68563,64578,63576,67772,64489,72479,73039,73110,67280,71920,69709.444,73161.457,73909.435,73072.394,76016.351,77355.304,75658.106,78121.382,76511.515,72080.293,69640.811,63329.573,66135.578,68151.934
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","SK:Slovakia",Q:S:CA:4R:U:C:A:A:TO1:O:SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,\,\,-,\,-,-,-,-,-,-,-,-,\,\,-,\,\,\,11,\,\,-,-,-,-,-,-,\,-,-,-,-,-,-,\,-,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SK:Slovakia",Q:S:TW:4R:F:C:A:A:TO1:A:SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,19,18,18,5,5,5,11,5,4,4,4,4,3,3,-,-,-,2,2,-,1,-,2,2,-,2,2,1,2,-,-,1,-,-,-,-,-,-,-,27,29,44,43,42,42,36,37,34,26,22,22,18,18,14
