BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Denmark"
"Country: Denmark"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DK:Denmark",Q:S:AU:4R:Q:C:A:A:TO1:A:DK,,,,,,,,,,,,,,,,,,,,,,,,,231,205,77,129,145,45,82,-442,259,238,256,20,-,406,-,-,-,260,612,160,93,296,544,382,106,13,10,8,109,101,242,176,242,144,142.855,142.474,429.163,464.437,617.972,131.75,539.339,128.222,132.054,119.261,314.666,65.81,-121.288,22.534
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","DK:Denmark",Q:S:TW:4R:U:C:A:A:TO1:F:DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,62,66,71,66,67,65,66
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","DK:Denmark",Q:S:5A:4R:U:C:A:A:TO1:O:DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11353,20369,17956,21527,17616,22863,23423,17142,19307,15097,19561,18852,25142,18917,13863,14256,22215,26931,23297,30296,25749,24061,22638,21139,15842,18953,25298,21479,19635,23473,25437,30290.486,21311.214,27843.178,24777.264,46256.537,29815.938,34559.828,30376.126,27052.179,39047.716,25585.932,19254.753
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","DK:Denmark",Q:S:FI:4R:U:C:A:A:TO1:B:DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,952,989,995,914,960,847,815,896,568,604,568,645,605,599,631,585,628,625,558,548,574,548
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","DK:Denmark",Q:S:IT:4R:U:C:A:A:TO1:B:DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1457,\,\,\,\,\,\,\,\,\,\,\,1418.096,1969.29,1714.307,1338.489,694.23,870.326,850.322,1422.889
"Q:Quarterly","S:Amounts outstanding / Stocks","PA:Panama","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DK:Denmark",Q:S:PA:4R:F:I:A:A:TO1:A:DK,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,2,2,2,2,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-,3,1,1,1,5,1,4,1,1,2,7,2,2,2,3,2,4,5,4,4,5,2,7,7
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DK:Denmark",Q:S:AT:4R:U:W:A:A:TO1:A:DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,12.052,11.83,1.68,0.744,\,1.92,1.743,1.758
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","DK:Denmark",Q:S:FR:4R:U:C:V:A:TO1:A:DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199,1264,1167,1284,1039,1295,1017,1483,1260,1985,2063,2366,2032,2679,2307,4027,3408,2623,2864,2544,\,\,\,1383,1266,1260,1261,1491,1382,1382,1399,1351,1184,1058,938,744,647,786,1133,1297,1392,1080,1233
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","DK:Denmark",Q:S:AU:4R:U:C:V:A:TO1:A:DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,-,156,148,147,173,131,132,111,156,282,231,242,213,339,500,419,387,201,255,189,224,170,104,142,83,93,121,121,128.461,78.113,68.024,67.2,38.44,78.851,28.903,33.852,51.029,156.818,155.685,163.534,146.891,168.844
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DK:Denmark",Q:S:KR:4R:U:X:A:A:TO1:A:DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683.909,3031.704,2236.719,1157.634,554.597,651.957,31.287,31.281
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DK:Denmark",Q:S:FR:4R:U:C:A:A:TO1:A:DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4478,6442,8089,6046,4468,4846,4971,5987,8939,7425,7251,10059,11877,10572,8907,16026,24489,22971,27346,23602,23432,22816,26468,20981,19516,16907,15942,12762,15560,14860,15490,13262,12427,14996,13685,11669,10879,8000,7479,7743,9043,9254,9668
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DK:Denmark",Q:S:JP:4R:U:C:A:A:TO1:A:DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6725,5301,5818,7112,6468,7666,7174,8950,8460,10182,9962,12002,12552,11488,11794,13982,10365,11076,10611,9587,8809,7671,8070,8097,8608,8671,8176,7523,8068,7626,7488,6968,7352,6215,6390,6667,6919.8,6085.1,5398.2,5027.4,5794.5,5625.3,5716.6
