BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Azerbaijan"
"Country: Azerbaijan"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","AZ:Azerbaijan",Q:S:AT:4R:U:C:A:A:TO1:R:AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,-,-,-,-,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,14.599,2.137,1.332,1.136,1.651,0.685,3.697,2.964
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","AZ:Azerbaijan",Q:S:GB:4R:U:C:A:A:TO1:R:AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,28,28,19,42,85,88,53,75,70,61,48,48,46,46,39,39,35,37,36,534,488,1490,125,587,755,623,439,439,336,128,78,134,94,118,172,122,87,94,61,45,53,76
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AZ:Azerbaijan",Q:S:JP:4R:F:I:A:U:TO1:A:AZ,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,1,1,1,1,4,4,1,0,0,0,0,4,7,8,16,19,22,16,0,0,6,7,7,7,7,7,8,17,16,27,27,25,24,35,36,34,27,8,41,41,41,5,4,1,2,13,23,19,14,13,11,8,10,8,8,8,5,37.3,37.3,18.5,16
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AZ:Azerbaijan",Q:S:ES:4R:U:W:A:A:TO1:A:AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,\,4.596,4.208,3.85,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AZ:Azerbaijan",Q:S:SE:4R:U:C:A:A:TO1:A:AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,-,-,-,-,-,-,-,-,-,-,\,\,\,\,-,-,\,-,-,-,-,-,-,\,-,-,0,1,1,0,0,0,\,\,\,\,1.177,\,0.962,0.922
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AZ:Azerbaijan",Q:S:FR:4R:F:C:A:A:TO1:A:AZ,0,-,1,-,1,-,3,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,0,0,0,4,5,5,5,5,7,8,8,8,5,6,8,10,32,102,130,117,163,159,193,314,384,566,422,455,483,584,677,764,935,1171,1076,1055,1100,1168,1066,1142,1245,1574,1725,\,2079,2019,1980,1737,2273,1862,1920,1990,1703,1678,1580,\,\,\,\,\,\,\,1957
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AZ:Azerbaijan",Q:S:JP:4R:U:W:A:A:TO1:A:AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,2,12,6,6,7,7,4,5,6,4,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,300,259.6,285
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","AZ:Azerbaijan",Q:S:GB:4R:F:B:A:A:LC1:A:AZ,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,1,3,4,4,4,6,4,2
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AZ:Azerbaijan",Q:S:GR:4R:F:I:A:A:TO1:A:AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,5,5,5,5,5,5,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AZ:Azerbaijan",Q:S:IT:4R:Q:C:A:A:TO1:A:AZ,,,,,,,,,,,,,,,,,,,,,,,\,-,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,-,-,-,-,\,\,\,\,\,-,\,\,-6,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
