BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Serbia"
"Country: Serbia"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:BE:4R:F:C:A:A:TO1:A:RS,,,1,31,46,7,56,47,48,44,39,49,90,41,35,47,77,62,62,183,179,149,112,92,92,81,113,60,34,32,20,18,15,13,14,2
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:GB:4R:U:C:A:A:TO1:A:RS,,,34,22,20,8,4,9,9,24,25,26,19,26,28,33,33,26,26,22,20,32,49,65,76,97,56,71,76,48,50,19,-2,40,36,11
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","RS:Serbia",Q:S:IT:4R:F:B:A:A:LC1:A:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1990,\,\,\,\,\,\,\,\,\,\,\,3117.117,2744.04,2998.519,2828.512,2756.718,2475.594,2573.284,2584.422
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:CH:4R:F:C:A:A:TO1:A:RS,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,226.024,247.777,244.672,234.695,201.583,215.208,176.477,162.026
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","RS:Serbia",Q:S:IT:4R:U:C:A:A:TO1:F:RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.74,96.308,72.602,65.309,14.111,34.834,12.575,31.91
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:US:4R:F:C:A:A:TO1:A:RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,248,214,202,145,300,278,234
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","RS:Serbia",Q:S:IT:4R:U:C:A:A:TO1:O:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1841,\,\,\,\,\,\,\,\,\,\,\,3456.211,3182.12,2934.573,3117.934,2792.278,2594.899,2879.834,2824.301
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:5A:4R:U:C:A:A:TO1:A:RS,12527,15677,17495,19404,29686,30851,28967,25925,23988,22554,23211,23977,23930,22129,22121,24258,25510,27462,28716,27642,26802,25909,23298.001,28945.002,30722.002,30459.001,29827.001,29771.003,26673.935,26217.688,26453.596,23437.746,21518.385,19625.379,20327.78,20820.831
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","RS:Serbia",Q:S:IT:4R:U:C:A:A:TO1:B:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,82,\,\,\,\,\,\,\,\,\,\,\,27.707,167.126,534.374,57.426,65.243,47.582,87.05,57.91
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","RS:Serbia",Q:S:GB:4R:U:C:A:A:TO1:R:RS,,,10,8,10,2,-,2,7,20,20,22,19,23,24,28,31,24,24,22,26,32,35,34,34,32,18,19,10,20,19,18,16,48,35,26
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:GB:4R:Q:C:A:A:TO1:A:RS,,,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2,5,5,3,3,3,3,3,0,2,2
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:IT:4R:U:C:A:A:TO1:A:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,7145,\,\,\,\,\,\,\,\,\,\,\,8642.196,8564.877,8528.542,7852.629,7417.741,6685.162,7149.643,7277.208
"Q:Quarterly","S:Amounts outstanding / Stocks","BR:Brazil","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:BR:4R:F:I:A:A:TO1:A:RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","RS:Serbia",Q:S:BE:4R:F:B:A:A:LC1:A:RS,,,,,2,6,5,5,4,2,2,2,2,2,1,1,1,1,1
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","RS:Serbia",Q:S:FR:4R:U:C:A:A:TO1:R:RS,374,552,647,804,948,1162,889,1067,1491,1374,901,1108,1717,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2614
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:GR:4R:U:X:A:A:TO1:A:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,125,136,136,144,177,113,120,125
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:GR:4R:U:C:A:A:TO1:A:RS,2254,2700,3232,3740,4605,4727,5417,4681,4869,4202,4455,4641,6812,6280,5970,6504,7024,7562,7173,6760,6292,6628,5674,5830,6035,6669,6106,6213,5757,5782,5773,5309,4921,4440,4434,4523
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:BE:4R:U:C:A:A:TO1:A:RS,,,1,31,46,7,56,46,47,44,40,50,90,49,36,47,84,70,69,190,196,167,118,98,92,81,109,56,27,25,20,18,15,13,14,2
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:JP:4R:F:C:A:A:TO1:A:RS,,,,80,86,84,56,56,39,56,64,69,68,65,60,56,48,45,38,39,30,30,29,20,66,98,80,54,76,72,64,58,48.7,44.6,36.2,37.9
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","RS:Serbia",Q:S:GR:4R:U:C:A:A:TO1:R:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,4146,4174,4232,3859,3728,3349,3471,3388
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","RS:Serbia",Q:S:5A:4R:F:B:A:A:LC1:A:RS,5484,7184,7033,8070,10262,9731,9175,8690,7293,6893,6883,7890,9415,8549,7912,8807,9429,10230,10310,10586,10269,10278,9358,14747,16655,15733,15760,14658,11806.704,10218.268,10970.946,10001.213,8320.984,7651.537,7492.494,7825.706
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:AT:4R:F:I:A:U:TO1:A:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,956.221,1366.249,1336.369,928.831,973.446,832.493,1060.604,903.128
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:SE:4R:F:C:A:A:TO1:A:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,22,\,\,\,\,\,41,40,39,49,46,46,\,\,\,\,24.106,\,16.096,14.031
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","RS:Serbia",Q:S:5A:4R:U:C:A:A:TO1:R:RS,6889,8303,9803,11401,15653,16968,16728,15179,14921,15286,15307,15533,15168,14316,15095,16626,17576,18660,19343,18617,17190,16963,15911.001,21155.002,22538.002,21773.001,21390.001,20880.003,17550.445,17172.323,17153.322,15028.887,14555.401,13106.639,13564.136,14018.725
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","RS:Serbia",Q:S:BE:4R:U:C:A:A:TO1:B:RS,,,1,-,2,5,7,6,7,7,9,9,10,11,13,22,64,40,48,170,173,161,112,88,82,72,101,47,19,16,11,11,10,9,9
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:5A:4O:F:I:A:A:TO1:A:RS,7027,9192,11415,12371,17137,18499,17167,16083,15767,14251,15470,15417,15350,14181,14963,16233,16816,17913,19554,18184,17662,18240,15840.182,16123.377,16525.388,17121.402,16358.366,17488.429,17191.648,18484.197,17982.796,15790.665,15258.87,14113.284,14976.599,15062.436
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:CH:4R:F:I:A:A:TO1:A:RS,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,226.024,247.777,244.672,234.695,201.583,215.208,176.477,162.026
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:BE:4R:F:I:A:A:TO1:A:RS,,,1,31,44,1,51,42,44,42,37,47,88,39,34,46,76,61,61,183,179,149,112,92,92,81,113,60,34,32,20,18,15,13,14,2
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:GB:4R:F:I:A:U:TO1:A:RS,,,,,,2,-,5,7,23,20,26,19,23,25,27,25,19,21,19,25,22,24,37,26,58,30,42,56,30,31,10,9,12,3,8
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:US:4R:Q:C:A:A:TO1:A:RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7,-14,-13,-15,0,-13,-12,-12
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:SE:4R:U:X:A:A:TO1:A:RS,,,,,,,,,,,,,\,\,\,\,1,\,\,\,\,\,2,2,3,3,3,3,\,\,\,\,0.487,\,0.453,0.677
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:AU:4R:U:C:A:A:TO1:A:RS,,,,,,,,,,,,,,,,,,,,,,,0.001,0.002,0.002,0.001,0.001,2.003,3.469,2.746,3.929,0.447,0.419,0.39,0.393,0.361
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","RS:Serbia",Q:S:5A:4O:F:B:A:A:LC1:A:RS,5484,7184,7033,8070,10262,9731,9175,8690,7293,6893,6883,7890,9415,8549,7912,8807,9429,10230,10310,10586,10269,10278,9358,14747,16655,15733,15760,14658,11806.704,10218.268,10970.946,10001.213,8320.984,7651.537,7492.494,7825.706
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:FR:4R:Q:C:A:A:TO1:A:RS,0,-1,-,-,-101,-27,-35,104,-108,-130,-272,-288,-52,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-341
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","RS:Serbia",Q:S:AT:4R:U:C:A:A:TO1:B:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1213.831,1150.591,1040.316,997.249,354.237,300.011,318.081,301.984
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:GR:4R:F:C:A:A:TO1:A:RS,2270,2707,3242,3753,4612,4733,5436,4703,4897,4216,4475,4766,7044,6489,6132,6686,7177,7668,7354,6879,6443,6672,5780,5973,6168,6768,6241,6380,5869,5917,5896,5428,5043,4544,4510,4584
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:AT:4R:Q:C:A:A:TO1:A:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-295.026,-308.665,-303.748
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:5A:4R:F:I:A:A:TO1:A:RS,6961,8831,10854,11760,16484,17823,16539,15507,15481,14057,15269,15231,15146,14030,14801,16064,16653,17713,19299,17913,17362,16859,14562.182,14807.377,15033.388,15688.402,14944.366,16037.429,16117.046,17364.706,16844.283,14695.033,14371.18,13288.766,14121.516,14194.844
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:CH:4R:U:W:A:A:TO1:A:RS,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3.56,4.678,3.912,4.854,3.777,3.413,3.473
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","RS:Serbia",Q:S:SE:4R:U:C:A:A:TO1:R:RS,\,\,\,-,-,\,\,-,\,\,\,\,\,\,\,\,20,\,\,\,\,\,14,14,14,12,11,12,\,\,\,\,5.965,\,4.358,3.736
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","RS:Serbia",Q:S:GB:4R:U:C:A:A:TO1:B:RS,,,,,,,,5,-,3,-,3,-,-,1,-,-,-,-,-,-,-,3,3,3,5,3,3,3,5,3,3,3,3
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:AT:4R:U:X:A:A:TO1:A:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,976.135,975.144,979.804,787.668,302.098,307.11,226.658,436.924
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:GB:4R:U:X:A:A:TO1:A:RS,,,2,2,2,2,8,4,1,32,31,2,2,2,1,3,3,-,-,-,-,-,-,-,-,-,2,2,-,-,-,3,-,-,-,6
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:SE:4R:F:I:A:U:TO1:A:RS,\,\,-,\,-,\,\,-,\,\,\,\,\,-,\,\,2,\,\,\,\,\,30,30,29,39,37,36,\,\,\,\,18.138,\,12.747,11.289
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","RS:Serbia",Q:S:AT:4R:U:C:A:A:TO1:R:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,4413.912,4100.087,4251.196,3329.756,3172.102,2913.569,3047.36,3307.84
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","RS:Serbia",Q:S:FR:4R:U:C:A:A:TO1:B:RS,14,93,15,16,103,24,103,131,238,209,567,214,296,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,356
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:BE:4R:F:I:A:U:TO1:A:RS,,,1,-,1,-,19,18,4,41,34,45,71,33,30,41,25,26,43,167,164,133,98,74,74,64,109,56,31,29,18,16,13,12,12,1
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:CH:4R:U:X:A:A:TO1:A:RS,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,0.675,8.536,16.973,9.386,0.607,0.536,0.559
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:FR:4R:U:W:A:A:TO1:A:RS,146,169,155,204,230,408,570,782,933,825,946,747,398,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,453
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","RS:Serbia",Q:S:5A:4R:U:C:A:A:TO1:O:RS,750,864,966,1040,1559,1547,1513,1192,1841,2229,2354,2787,3267,3314,3896,4364,4688,5054,5475,5428,5790,5784,4977,5243,5698,5479,6108,6556,7218.197,6756.309,6823.376,6432.89,5874.321,5581.446,5753.566,5797.535
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:FR:4R:U:X:A:A:TO1:A:RS,66,57,101,150,231,151,348,305,332,1018,222,662,514,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,561
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","RS:Serbia",Q:S:IT:4R:U:C:A:A:TO1:R:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,5148,\,\,\,\,\,\,\,\,\,\,\,5125.174,5192.482,5032.677,4653.142,4542.55,4027.135,4164.554,4378.706
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:US:4R:U:C:A:A:TO1:A:RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,234,201,187,145,287,266,222
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:ES:4R:F:C:A:A:TO1:A:RS,0,8,9,9,10,12,11,10,9,8,8,9,9,9,8,9,5,10,10,9,9,8,7,7,8,7,7,7,7,5.562,5.784,5.162,4.722,4.17,4.101,4.077
"Q:Quarterly","S:Amounts outstanding / Stocks","BR:Brazil","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:BR:4R:F:I:A:U:TO1:A:RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:GR:4R:U:C:V:A:TO1:A:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1,3,2,2,2,1,1,1
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:SE:4R:U:C:A:A:TO1:A:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,22,\,\,\,\,\,15,15,16,13,13,14,\,\,\,\,7.706,\,5.561,5.522
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:JP:4R:U:C:A:A:TO1:A:RS,,,,83,89,86,59,59,41,63,74,80,77,75,71,78,70,67,63,75,68,76,58,20,66,98,80,54,76.2,71.9,64.2,58.2,48.7,44.6,36.2,37.9
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:SE:4R:F:I:A:A:TO1:A:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,41,40,39,49,46,46,\,\,\,\,24.106,\,16.096,14.031
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","RS:Serbia",Q:S:5A:4R:U:C:A:A:TO1:F:RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.74,124.308,114.602,87.309,58.111,85.834,30.575,48.91
