BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Serbia"
"Country: Serbia"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:JP:4R:Q:C:A:A:TO1:A:RS,,,,3,3,2,3,3,2,7,10,11,9,10,11,22,22,22,25,36,38,46,29,-,-,-,-,-,0.2,-0.1,0.2,0.2
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:GR:4R:F:I:A:A:TO1:A:RS,1298,1550,1692,2199,2619,3179,3525,3025,3339,2931,3236,3377,5125,4902,4793,5140,5442,5743,5502,4929,4667,4850,4129,4175,4228,4764,4282,4280,3885,3953,3871,3540,3301,2965,2849,2877
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:GB:4R:F:C:A:A:TO1:A:RS,,,28,16,14,8,4,9,9,24,25,26,19,26,28,33,33,26,26,22,22,27,44,61,73,94,53,68,76,47,48,19,-2,40,36,11
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","RS:Serbia",Q:S:FR:4R:U:C:A:A:TO1:O:RS,366,370,415,345,443,418,431,257,222,206,190,168,182,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,699
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:CH:4R:Q:C:A:A:TO1:A:RS,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-69.412,-81.507,-83.117,-89.987,-87.129,-93.965,-71.495,-54.326
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:5A:4R:U:C:V:A:TO1:A:RS,0,5,6,11,11,282,101,51,57,28,17,55,58,24,152,109,76,139,135,105,210,75,51,51,60,78,72,40,28.402,34.138,20.506,11.855,5.113,6.084,25.036,36.331
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:IT:4R:U:X:A:A:TO1:A:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,387,\,\,\,\,\,\,\,\,\,\,\,426.777,383.787,369.007,321,309.315,299.647,332.976,351.193
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:IT:4R:F:I:A:U:TO1:A:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2072,\,\,\,\,\,\,\,\,\,\,\,1420.249,1714.496,1213.464,981.877,749.538,860.678,1302.937,1339.299
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","RS:Serbia",Q:S:AT:4R:U:C:A:A:TO1:O:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,702.224,801.725,860.988,744.185,1048.826,1020.487,918.941,870.705
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:IT:4R:F:I:A:A:TO1:A:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,5577,\,\,\,\,\,\,\,\,\,\,\,5741.836,6029.228,5729.858,5186.803,4811.232,4331.83,4706.461,4744.212
