BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Japan"
"Country: Japan"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","PA:Panama","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JP:Japan",Q:S:PA:4R:F:C:A:A:TO1:A:JP,,,,,,,,,,,,,,,,,,,,,,1,2,-,-,4,5,1,3,4,2,2,20,3,5,3,0,-,1,-,-,-,-,1,-,-,-,5,5,5,5,-,5,1,7,4,1,-,5,1,15,20,18,17,37,40,50,47,49,27,52,52
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JP:Japan",Q:S:FR:4R:F:C:A:A:TO1:A:JP,,,,,,,53302,-,55691,56995,62806,60394,58276,61163,55998,53141,72800,75972,91013,89078,93754,102342,123411,149232,130574,191320,161382,143000,147125,100807,152255,130804,126921,111721,137285,144785,131141,148047,145853,146657,167898,242963,231070,223154,219623,212988,211484,218612,187921,151785,137620,162662,\,145183,142849,137849,128439,128732,95634,69456,100910,105478,91710,123639,145517,155382,137682,183639,177439,187029,172268,174705
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","JP:Japan",Q:S:5A:4R:U:C:A:A:TO1:B:JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136511,154341,125696,106950,114372,122133,118852,103123,116181,125142,124682,148595,167716,134873,142553,130598,172555,192393,252182,211956,209979,250764,279132,265593,248423,244959,249937,232622,241099,265481.931,251635.95,255475.65,252170.314,250956.454,235705.933,207044.474,187559.171,188292.995,182065.138,180299.274,192629.443,190160.68,190437.592
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","JP:Japan",Q:S:AU:4R:U:C:A:A:TO1:R:JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,-,388,510,505,447,595,668,710,640,805,736,923,-,994,1396,1800,1822,1706,2067,2304,2749,3261,4475,4063,3730,2187,2128,2114,2404.005,3057.778,2437.909,2842.638,2606.504,2586.502,2876.215,2459.92,2656.176,2500.133,3414.824,3058.395,6192.911,3850.991
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","JP:Japan",Q:S:ES:4R:F:I:A:U:TO1:A:JP,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,6140.081,4317.495,4149.158,4478.003
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JP:Japan",Q:S:GB:4R:F:I:A:A:TO1:A:JP,,,,,,,15308,-,21318,13885,27747,29548,23415,17285,19986,20583,20316,16745,22171,21008,23694,27718,28262,25881,22747,23308,17217,21257,21102,26231,27475,25029,27409,32931,29773,25712,40355,44374,40172,51671,72003,72434,55735,57515,66920,44761,50366,60412,65186,55379,57515,71799,69286,71257,63087,65156,73996,81110,80795,76325,65102,45619,37905,45437,43217,43061,36789,47548,45596,56585,50897,61994
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JP:Japan",Q:S:TW:4R:U:C:A:A:TO1:A:JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3891,3939,4205,7170,7372,6778,8165,8140,7708,7923,7008,5624,5917,3771,3902,3853,5954,6039,5547,4660,4094,3977,4080,4150,3587,3523,3570,3595,3902,3856,4400,5277,3697,3879,4039,3984,3826,27430,26401,25680,26259,27313,28069
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","JP:Japan",Q:S:US:4R:U:C:V:A:TO1:A:JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3273,3363,3810,3602,6026,6334,5696,7077,5359,4646,4783,3996,8176,3560,4796,10701,25439,23594,20363,21024,17788,17391,34870,25941,28086,26856,28619,29231,25609,21532,19662,28020,22147,21671,19025,25994,19806,13074,25487,32837,30480,30124,16329
"Q:Quarterly","S:Amounts outstanding / Stocks","CL:Chile","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JP:Japan",Q:S:CL:4R:U:W:A:A:TO1:A:JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,-,-,-,-,-,-,20,20,19,18,16
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JP:Japan",Q:S:TW:4R:Q:C:A:A:TO1:A:JP,,,,,,,,,,,,,3477,3771,2597,2122,2372,1385,270,1115,1725,1345,1396,2055,1492,573,28,767,698,365,530,511,1451,1651,1429,2171,2251,1945,2543,2159,1323,1523,19,206,375,2830,2853,1965,975,830,472,449,386,229,204,133,-93,-25,-59,504,868,-611,-892,-1214,-768,-967,-606,-533,-179,448,668,406
