BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Jersey"
"Country: Jersey"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:JP:4R:U:W:A:A:TO1:A:JE,,,,,,,,,,,,,,,,,,,,,,0,0,5,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,70,0,0,-,-,-,-,0.5,0.8,0.8
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:5A:4R:U:C:V:A:TO1:A:JE,,,,,,,,,,,,,,,,,,,,,,2446,4950,4105,4900,5157,6933,7650,6934,5516,5838,5047,7230,10693,11187,15352,19368,15914,12069,20292,14326,12568,13299,10493,14680,11375,11146,12402,10638,10381,8985.513,8363.154,6936.988,6717.169,6189.024,5649.956,5801.779,8911.255,8184.613,8519.018,8235.073,8183.042,8055.562,8256.125
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:IT:4R:F:I:A:U:TO1:A:JE,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,250,\,\,\,\,\,\,\,\,\,\,\,26.384,24.576,59.13,17.356,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:ES:4R:U:C:V:A:TO1:A:JE,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,702.507,760.398,713.635,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:AT:4R:F:I:A:A:TO1:A:JE,,,,,,,,0,402,360,463,454,408,431,453,466,470,422,802,773,1084,1057,1662,1933,1846,2189,1831,1893,2087,2344,2347,2601,2722,2661,1948,2032,1565,1459,1504,2202,2928,2703,2439,2498,1624,1648,1757,1586,1079,1819,1511,996,971,952,1006,1050,996.705,978.912,973.004,304.773,281.12,519.922,538.016,277.484
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:AT:4R:U:W:A:A:TO1:A:JE,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,738.396,394.826,410.842,411.087
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:5A:4R:U:X:A:A:TO1:A:JE,,,,,,,,,,,,,,,,,,,,,,105369,111359,112379,124812,132342,138679,146933,180207,170705,173169,150021,141895,139189,132415,122801,77059,72019,69929,55767,54901,56499,40591,44169,38364,36869,35056,18987,18738,15262,15932.26,19148.236,15011.39,12207.094,10686.132,13870.916,13661.155,14348.383,14014.45,20505.071,15102.397,14614.703,13838.326,15231.193
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:GR:4R:F:I:A:A:TO1:A:JE,,,,,,,,,,,,,,,,,282,282,196,196,307,307,270,270,177,156,168,289,279,267,262,260,306,365,461,379,373,465,504,293,553,516,382,324,291,297,254,221,360,352,265,268,232,220,116,108,111,122,90,84,130,124,122,117
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:US:4R:F:C:A:A:TO1:A:JE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10889,11985,11563,12297,8886,8992,10738,11215
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:AT:4R:U:C:V:A:TO1:A:JE,,,,,,,,,,,,,,,,,,,,,,,\,\,-,-,-,-,-,-,-,-,-,\,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,-,-,-,-,-,-,-,-,\,130.679,118.735,137.92
