BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Curacao"
"Country: Curacao"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CW:Curacao",Q:S:ES:4R:Q:C:A:A:TO1:A:CW,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-129.409,-118.092,-76.541,-83.837
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","CW:Curacao",Q:S:TW:4R:U:C:A:A:TO1:F:CW,,,,,,,,,,,,,,,,,,,,,4
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","CW:Curacao",Q:S:AU:4R:F:I:A:U:TO1:A:CW,,,,,,,,5,-,-,-,-,-,1.325,3.805,3.332,1.986,1.254,1.21,1.163,1.199,1.627,2.217,1.563,1.296,1.336,1.085
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CW:Curacao",Q:S:CH:4R:Q:C:A:A:TO1:A:CW,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,-400.572,-395.956,-349.77,-222.47,-95.245,-153.497,-177.373,-218.015
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CW:Curacao",Q:S:TW:4R:F:I:A:A:TO1:A:CW,,,,,,,,,,,,,,,,1,1,1,1,-,5,1,1,1,6,5,5
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","CW:Curacao",Q:S:SE:4R:F:I:A:U:TO1:A:CW,,,,,,,,,,,,,,0,0,0,0,0,0,\,-,-,\,0.002,-,42.823
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CW:Curacao",Q:S:TW:4R:U:C:A:A:TO1:A:CW,,,,,,,,2,2,2,2,2,2,1,1,1,-,1,-,-,4
"Q:Quarterly","S:Amounts outstanding / Stocks","NL:Netherlands","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CW:Curacao",Q:S:NL:4R:U:C:A:A:TO1:A:CW,,,,,,,,413,740,1185,908,961,870,749,529,518,523,490,571,536.47,528.08,527.199,364.907,392.154,504.597,460.987,398.827
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CW:Curacao",Q:S:GB:4R:F:I:A:A:TO1:A:CW,,,,,,,,,1699,771,288,519,476,557,570,577,468,338,220,374,380,503,340,314,275,560,394
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","CW:Curacao",Q:S:5A:4R:F:B:A:A:LC1:A:CW,5,12,13,11,1,2,3,115,5,3,2,1,1,1,1,1,0,1,0,137,10.33,0.328,0.308,746.609,722.746,816.039,953.165
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CW:Curacao",Q:S:GB:4R:U:X:A:A:TO1:A:CW,,,,,,,,,248,161,23,2069,2162,1903,1935,1968,1834,1861,1972,1818,1696,1679,1816,1839,325,310,311
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CW:Curacao",Q:S:SE:4R:U:C:A:A:TO1:A:CW,,,,,,,,,1,-,-,-,-,25,25,24,106,156,191,\,\,\,\,64.591,\,120.487,80.313
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CW:Curacao",Q:S:GB:4R:U:W:A:A:TO1:A:CW,,,,,,,,,75,80,65,79,51,74,157,50,399,372,225,164,107,89,76,80,79,72,73
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CW:Curacao",Q:S:IT:4R:U:C:A:A:TO1:A:CW,,,,,,,,\,-,-,-,-,\,\,\,\,\,\,\,8.249,\,3.966,\,11.011,9.441,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CW:Curacao",Q:S:DE:4R:Q:C:A:A:TO1:A:CW,,,,,,,,578,889,417,416,393,389,356,360,359,395,370,352,-144,-165,135,-41,-57,-117,-102,-20
"Q:Quarterly","S:Amounts outstanding / Stocks","TR:Turkey","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CW:Curacao",Q:S:TR:4R:F:I:A:A:TO1:A:CW,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1
