BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Finland"
"Country: Finland"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FI:Finland",Q:S:BE:4R:F:I:A:A:TO1:A:FI,,,,,,,958,-,1235,1721,1530,1217,1378,1476,1395,1496,1436,1585,1802,1675,1925,1901,1989,2484,2964,2164,2546,2701,3669,2591,2710,2580,2364,2583,2851,2582,2684,2922,3316,3420,3116,3206,3465,2788,2664,3099,2923,2967,978,873,931,968,865,662,722,708,628,606,490,511,452,449,489,522,467,704,459,453,487,365,1672,2086
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","FI:Finland",Q:S:BE:4R:U:C:A:A:TO1:O:FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913,1775,1788,1762,1960,2010,2046,2006,1909,2034,1847,1778,1378,1578,1263,1270,1800,1188,1115,633,621,494,537,549,315,356,328,313,228,212,205,210,196,215,228,169,38,166,193,188,74,244,242
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","FI:Finland",Q:S:AU:4R:U:C:V:A:TO1:A:FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,-,51,100,78,92,62,68,82,76,77,73,-,86,95,130,107,108,71,95,72,41,77,94,92,22,57,61,12,9.601,7.931,5.589,22.994,16.173,20.565,42.699,18.578,13.352,97.597,65.944,65.631,53.714,84.9
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","FI:Finland",Q:S:KR:4R:U:C:A:A:TO1:R:FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.085,15.862,17.816,17.015,24.505,15.083,17.579,19.753
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","FI:Finland",Q:S:GB:4R:F:I:A:U:TO1:A:FI,,,,,,,454,-,337,394,356,460,770,967,966,820,1009,807,993,1176,842,705,888,738,1085,961,1222,2135,1279,1665,1586,1691,2436,1969,2695,2124,3294,1434,1224,1119,1555,3236,1381,2951,1225,1500,3368,3243,2282,3181,3164,3408,2112,2921,2484,4217,3391,4722,4460,4420,4501,5216,5577,4343,5195,4695,4753,5426,5535,6769,5425,5197
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","FI:Finland",Q:S:AT:4R:U:C:A:A:TO1:B:FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,550.044,704.917,847.498,547.455,768.318,502.098,1069.201,974.018
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FI:Finland",Q:S:GR:4R:F:C:A:A:TO1:A:FI,,,,,,,,,,,,,,,,,,,,,,,,,18,18,9,9,292,292,13,13,18,1,9,281,10,289,8,407,25,17,9,7,7,8,294,297,7,5,5,216,2,2,2,1,1,430,2,170,168,193,12,13,175,175,167,167,102,91,129,146
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FI:Finland",Q:S:JP:4R:F:C:A:A:TO1:A:FI,,,,,,,1790,-,2097,2341,2900,2908,2953,2833,2814,2862,3029,2524,3031,3061,3065,3015,2982,3543,3523,3451,3344,3525,3696,3518,4137,3756,3418,3563,3724,3580,3893,4104,4707,5135,5578,6503,6286,6784,6422,5758,6750,6425,5694,4534,4274,4473,4490,4706,4854,4515,4082,3972,3908,3834,4042,3380,3846,3886,4521,4394,4698,4457,4106.4,4126.5,4050.9,4101.9
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","FI:Finland",Q:S:CH:4R:U:C:V:A:TO1:A:FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,5600.112,4695.592,5007.723,3767.573,4028.195,4604.263,2670.305,3018.358
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","FI:Finland",Q:S:5A:4R:U:C:A:A:TO1:R:FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18003,71267,69536,70210,80603,79775,81953,89405,93916,97794,110165,113244,128514,130661,119057,116345,115215,118671,121855,116197,115349,103338,115176,111316,122176,126334,118227,112918,120064,113514.851,117255.823,121291.842,116999.411,117678.337,122390.666,124061.993,128326.81,127541.424,120683.759,111470.118,102315.888,106499.327,107837.803
