BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Germany"
"Country: Germany"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DE:Germany",Q:S:TW:4R:F:I:A:A:TO1:A:DE,,,,,,,,,,,,,1088,1220,1414,1747,1680,1725,1974,1694,1810,2071,2123,2360,2361,2173,2226,2244,2336,2447,2569,2614,2906,2872,2923,2696,2817,2796,2964,3264,2989,3007,2596,3155,2056,2481,2651,2876,2844,2857,2975,3045,3194,3066,3083,2933,2986,3185,3219,3889,3357,3290,3319,3109,3247,3438,3486,3401,3266,3420,3280,3767
"Q:Quarterly","S:Amounts outstanding / Stocks","PA:Panama","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DE:Germany",Q:S:PA:4R:F:I:A:A:TO1:A:DE,,,,,,,,,,,,,,,,,,,,,54,257,186,125,193,99,91,67,41,70,29,49,49,30,34,35,41,44,35,112,108,74,79,81,78,43,39,51,48,46,61,62,243,195,220,222,258,282,264,274,273,101,99,99,141,168,207,255,512,391,284,284
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DE:Germany",Q:S:JP:4R:U:C:A:A:TO1:A:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90298,103701,99361,106207,103150,110365,109455,123325,130227,134498,148502,166511,180931,176429,173045,158334,146113,157511,175248,165755,160940,162923,178871,148260,156938,146164,139450,132091,136783,132163,144779,145505,150425,147170,148628,159248.6,139259.5,127339.6,123706.3,127596.6,126483.5,106717,113788.2
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","DE:Germany",Q:S:IT:4R:U:C:A:A:TO1:B:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,57307,\,\,\,\,\,\,\,\,\,\,\,40368.279,41663.465,36172.389,37262.786,31569.488,32729.766,29125.574,36610.769
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","DE:Germany",Q:S:FI:4R:U:C:A:A:TO1:B:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1803,2194,2133,2226,2468,2476,2301,2440,2283,2661,2585,2275,2266,2482,1820,1543,1691,1694,1170,1317,1319,1335
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","DE:Germany",Q:S:FR:4R:U:C:V:A:TO1:A:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30655,33843,30657,40113,33172,38289,30721,34587,30305,29937,38102,38214,40785,61494,57234,106531,102618,65032,73822,71472,\,\,\,39469,37797,45466,56588,54659,48325,48325,48359,47197,47870,46625,47840,20826,22088,19524,19614,20061,22191,18245,16199
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DE:Germany",Q:S:IT:4R:U:C:A:A:TO1:A:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,257408,\,\,\,\,\,\,\,\,\,\,\,232642.627,249641.095,242211.335,233991.094,186761.052,192969.142,198713.465,201219.143
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","DE:Germany",Q:S:ES:4R:U:C:A:A:TO1:B:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3241,5773,4707,7038,5953,7049,4820,6988,4801,3116,3581,4742,3348,\,\,\,2902.283,3373.252,3846.104,4678.53
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DE:Germany",Q:S:KR:4R:U:X:A:A:TO1:A:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.613,67.669,66.725,46.598,63.226,66.663,76.231,50.131
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","DE:Germany",Q:S:GB:4R:U:C:A:A:TO1:O:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13409,24894,30109,22211,17014,20157,35102,33026,34956,17801,22581,18169,17554,30707,27373,26680,47109,58422,59692,63037,66193,71448,69158,57203,69214,62869,103156,78718,208860,185851,176531,158327,99446,91692,71597,70497,68463,55531,61020,69715,63054,64546,69366
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","DE:Germany",Q:S:SE:4R:U:C:A:A:TO1:O:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18470,21659,18702,17032,15792,16003,16317,16226,17213,14756,14804,17945,16579,17957,14415,13535,13641,15546,15963,14194,13844,19766,19707,29077,26027,22572,17819,18046,33180,47710,35110,31847,31010,35131,33140.583,31904.688,36155.665,35861.186,30301.434,31648.3,30819.741,33648.306
