BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Italy"
"Country: Italy"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","IT:Italy",Q:S:US:4R:U:C:V:A:TO1:A:IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9405,10218,10934,10879,9806,6760,7111,9779,8249,6468,7361,7806,8919,6791,6990,14873,21304,18765,25876,20591,21257,23215,31571,21446,18645,19464,28505,26861,26001,25480,26839,29429,27447,26385,27611,28832,31168,32181,31275,28940,29293,24416,25014
"Q:Quarterly","S:Amounts outstanding / Stocks","TR:Turkey","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IT:Italy",Q:S:TR:4R:F:I:A:A:TO1:A:IT,,,,,,,,,,,,,127,56,72,132,170,149,32,175,65,64,138,85,134,180,93,245,264,189,275,591,538,185,379,657,659,547,748,469,439,547,100,184,679,261,434,510,630,588,454,278,437,396,482,53,29,64,68,95,58,55,68,51,50,62,55,53.649,142.778,113.815,266.473,242.904
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","IT:Italy",Q:S:5A:4R:U:C:V:A:TO1:A:IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51527,68864,65330,60862,54321,59974,54885,55701,59346,62216,63862,85766,95167,102244,87344,119406,113978,95104,117425,102908,107830,113734,140785,87835,78387,81370,113203,101093,101857,103398.539,107142.19,110676.396,101738.582,93602.889,89646.517,96881.532,100367.198,106711.725,107043.415,106345.089,103003.217,79749.161,84347.176
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","IT:Italy",Q:S:GR:4R:F:I:A:U:TO1:A:IT,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,78,112,116,55,214,161,163,127
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IT:Italy",Q:S:CH:4R:U:W:A:A:TO1:A:IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5062,4745,4905,4134,5368,6378,6994,6640,6674,10136,11982,13733,26544,16112,2479,2332,2350,2708,2887,1015,973,2366,715,710,855,658,566,840,664,373,479,402,3520,383,15528,14651.411,15623.536,15540.624,10907.932,8997.909,7936.351,7855.909
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","IT:Italy",Q:S:JP:4R:F:I:A:U:TO1:A:IT,,,,,,,2048,-,4282,6231,7863,5657,5780,5129,6639,4398,4456,2930,5593,2813,1831,2145,1642,1649,2896,1395,1369,1745,2582,2445,1371,2467,2958,3713,4189,3245,2969,2728,3801,4125,2480,2522,5762,3036,1863,2512,4296,1846,2104,2082,1408,2331,2965,2328,2429,1077,1067,1137,2773,4218,4426,2494,1670,1564,1745,3188,4373,4726,4315.162,3016.523,2340.516,1977.197
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","IT:Italy",Q:S:DE:4R:U:C:A:A:TO1:R:IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,60903,\,\,\,\,\,\,\,\,\,\,\,57284,58901,60229,54492,38559,34172,32232,34081
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","IT:Italy",Q:S:DE:4R:U:C:V:A:TO1:A:IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,9063,\,\,\,\,\,\,\,\,\,\,\,15974,17608,17630,17915,17466,14864,11313,14202
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IT:Italy",Q:S:5A:4R:F:C:A:A:TO1:A:IT,23,-,56,-,56,-,348997,-,379379,400094,411068,387865,391046,410970,408121,415473,399810,416103,480219,461301,490058,516877,568974,591441,589943,622567,624534,631654,679937,710837,706076,711375,689021,823953,891862,947197,984383,1090548,1131187,1176104,1299509,1409563,1365699,1164297,1098267,1065758,1141384,1192497,1146841,1052490,903165,989877,863662,904708,927534,802596,710844,735366,613021.166,684957.441,712675.403,697798.897,704298.676,720420.712,732878.871,773061.427,795748.054,716917.4,678415.244,628470.27,634445.98,642577.596
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","IT:Italy",Q:S:5A:4R:U:C:A:A:TO1:F:IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22390.528,28359.872,30473.46,24461.854,26013.568,23758.135,24267.607,23282.483
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IT:Italy",Q:S:5A:4C:F:I:A:A:TO1:A:IT,2059,-,1778,-,1802,-,50524,-,60127,54627,56078,56172,59345,56515,58308,57596,57199,57470,59300,51866,61790,48378,51866,43988,52163,98150,98591,100899,133911,117814,114540,114153,117583,125877,135711,155218,168099,184000,261908,296736,343616,353233,364010,300982,269985,262394,277059,277085,255011,239903,201973,236318,213896,234304,252405,196669,163890,166030,152301.553,155999.677,161628.837,150900.505,166294.189,161872.066,154251.706,154004.956,153283.463,141450.102,137333.424,124734.787,125592.183,118996.341
