BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Bonaire, Sint Eustatius and Saba"
"Country: Bonaire, Sint Eustatius and Saba"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:FR:4R:U:X:A:A:TO1:A:BQ,,\,\,\,\,\,\,-,-,-,-,-,-,-,-,\,\,\,\,98
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:CH:4R:F:I:A:A:TO1:A:BQ,,,,,,,,,,,,,40.066,15.402,12.872,9.465,9.812,8.7,8.591,5.161
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","BQ:Bonaire, Sint Eustatius and Saba",Q:S:FR:4R:U:C:A:A:TO1:F:BQ,,,,,,,,,,,,,,,,,\,-,-,182
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:CH:4R:Q:C:A:A:TO1:A:BQ,,,,,,,,,,,,,42.804,39.21,34.258,31.878,28.959,25.693,26.336,26.629
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:5A:4O:F:C:A:A:TO1:A:BQ,8,21,26,27,74,75,74,26,51,51,52,48,93.225,66.495,64.259,58.719,78.93,56.21,55.612,289.133
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","BQ:Bonaire, Sint Eustatius and Saba",Q:S:5A:4R:U:C:A:A:TO1:F:BQ,,,,,,,,,,,,,1,-,-,-,19,-,-,182
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:CH:4R:F:I:A:U:TO1:A:BQ,,,,,,,,,,,,,11.542,8,7.777,4.815,6.659,6.381,6.175,4.534
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:FR:4R:F:I:A:A:TO1:A:BQ,,\,0,0,0,0,0,-,-,-,-,-,-,-,-,-,\,-,-,194
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:TW:4R:U:C:A:A:TO1:A:BQ,8
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:FR:4R:U:C:A:A:TO1:A:BQ,,0,0,0,0,\,\,-,-,-,-,-,-,-,-,-,\,-,-,194
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:CH:4R:F:C:A:A:TO1:A:BQ,,,,,,,,,,,,,40.066,15.402,12.872,9.465,9.812,8.7,8.591,5.161
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:5A:4R:F:I:A:A:TO1:A:BQ,8,21,26,27,74,75,74,26,51,51,52,48,87.576,60.945,57.984,53.544,74.194,55.759,54.783,288.795
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:5A:4R:U:W:A:A:TO1:A:BQ,,0,0,0,85,0,0,0,0,0,0,0,0,0.016,0.018,0.024,-,-,142.552,1
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","BQ:Bonaire, Sint Eustatius and Saba",Q:S:FR:4R:U:C:A:A:TO1:R:BQ,,\,\,\,\,\,\,-,-,-,-,-,-,-,-,-,\,-,-,194
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:5A:4R:F:C:A:A:TO1:A:BQ,8,21,26,27,74,75,74,26,51,51,52,48,87.576,60.945,57.984,53.544,74.194,55.759,54.783,288.795
