BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Belgium"
"Country: Belgium"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","BE:Belgium",Q:S:CA:4R:U:C:A:A:TO1:B:BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1585,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,313.96,\,\,56.812
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","BE:Belgium",Q:S:GB:4R:F:B:A:A:LC1:A:BE,,,,,,,,,197,193,213,183,1444,1258,537,841,715,937,662,827,897,833,847,847,729,1020,1068,1200,1425,2193,1568,1620,863,1282,1430,1472,1423,1453,1085,1131,880,855,667,592,530,509,566,541,94,423,1059,1114,888,994,1044,617,430,336,296,530,424,340,308,580,684,627,368,405,559,276,304,101
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:AU:4R:F:C:A:A:TO1:A:BE,,,,,,,,,,,,,,,,,,,,,,,,,353,439,178,278,684,1022,800,1250,2008,2371,1671,1412,620,275,1104,519,1639,3975,1881,3445,3319,1299,2302,1699,2488,1907,1198,1058,1665,1113,1186,742,736,539,434.044,487.6,624.626,943.082,1076.567,261.655,572.088,791.38,708.251,539.321,863.135,1091.323,134.618,550.559
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","BE:Belgium",Q:S:GB:4R:U:C:A:A:TO1:R:BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5673,4453,4758,4600,4687,4697,5599,5004,5778,5433,8015,6379,7010,7138,5571,12468,12206,11282,11969,9929,9079,9007,10004,8026,8805,7137,5599,4406,4206,4433,5310,4863,4910,5531,5647,5185,4613,4621,3842,3857,4372,3810,3653
"Q:Quarterly","S:Amounts outstanding / Stocks","TR:Turkey","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:TR:4R:U:C:A:A:TO1:A:BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,439,228,661,264,584,715,1152,689,1268,1117,914,1189,1291,517,778,670,987,569,688,799,830,612,406,277,225,642,516,614,420,77,163,41,229,328,262,463,46,142.008,115.871,228.008,163.236,84.032
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","BE:Belgium",Q:S:FI:4R:U:C:A:A:TO1:O:BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,290,278,254,\,265,\,\,\,272,391,408,672,859,932,927,872,875,859,806,762,557,536
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:5A:4R:U:C:A:A:TO1:A:BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333614,357658,362039,341207,371727,379831,389602,387589,423499,438651,495435,517186,542135,563578,474678,467517,456854,467094,485660,632093,571366,530857,577406,471014,514305,495724,494283,447247,491142,470035.19,496752.036,486055.362,480746.138,472784.457,492512.277,468370.932,491731.039,483422.148,447025.073,433695.687,407945.759,419129.146,425513.647
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:FI:4R:U:C:A:A:TO1:A:BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,434,462,325,355,468,302,273,279,308,469,581,861,1159,1237,1315,1383,1505,1400,1338,1262,1124,1144
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:IT:4R:Q:C:A:A:TO1:A:BE,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,570,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:ES:4R:F:I:A:A:TO1:A:BE,,,,,,,3588,-,2995,6878,4519,4588,4435,4569,5874,4954,5137,6676,6454,5638,7533,5385,5728,5193,7339,7363,9988,8576,9634,15056,10058,12537,11301,13110,11790,13137,13184,14459,13848,15110,16647,15840,19306,16046,11147,7733,8666,7131,8412,6219,4835,4084,4433,3446,3556,5520,4277,6178,4301,3631,4606,5102,4215,5259,3283,4088.8,3429.741,3316.343,4123.137,3590.894,3950.669,4271.489
