BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Bosnia and Herzegovina"
"Country: Bosnia and Herzegovina"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BA:Bosnia and Herzegovina",Q:S:IT:4R:F:I:A:A:TO1:A:BA,,,\,-,-,-,-,-,-,-,\,-,-,-,-,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,371,\,\,\,\,\,\,\,\,\,\,\,832.522,818.924,782.894,725.51,734.509,670.446,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","BA:Bosnia and Herzegovina",Q:S:FR:4R:U:C:A:A:TO1:R:BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,6,4,4,3,239,241,293,290,315,4,8,10,8,10,7,12,13,34,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,5
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BA:Bosnia and Herzegovina",Q:S:GB:4R:F:I:A:A:TO1:A:BA,,,\,-,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2,2,4,4,4,6,6,8,7,4,4,5,3,3,2,1,-,-,-,2,3,3,2,2,2,2,3,2,11,12,17,10,10,2,1,2,2
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BA:Bosnia and Herzegovina",Q:S:IT:4R:F:C:A:A:TO1:A:BA,,,\,-,-,-,-,-,-,-,\,-,-,-,-,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3573,\,\,\,\,\,\,\,\,\,\,\,4020.982,4022.746,4056.681,3874.107,3771.171,3487.521,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BA:Bosnia and Herzegovina",Q:S:GB:4R:U:W:A:A:TO1:A:BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,0
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","BA:Bosnia and Herzegovina",Q:S:BE:4R:U:C:A:A:TO1:O:BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,6
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BA:Bosnia and Herzegovina",Q:S:FR:4R:Q:C:A:A:TO1:A:BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,0,1,2,2,2,1,238,240,293,289,315,3,1,5,3,4,3,5,7,10,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,-,-,-,\,\,\,\,-16
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BA:Bosnia and Herzegovina",Q:S:CH:4R:F:C:A:A:TO1:A:BA,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,28.143,28.762,28.586,28.083,17.06,14.186,15.533,26.388
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BA:Bosnia and Herzegovina",Q:S:BE:4R:F:C:A:A:TO1:A:BA,,,,,,,,,,,,,,,,,,,,,,,,,,13,8,2,1,3,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,10,16,18,25,33,35,14,13,9,4,4,3,3,1,1,1,1,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,1
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BA:Bosnia and Herzegovina",Q:S:5A:4R:F:I:A:A:TO1:A:BA,69,-,134,-,112,-,122,-,93,-,229,-,107,-,67,-,97,-,77,-,97,-,117,-,88,86,60,58,185,101,159,95,204,187,243,513,549,538,328,372,517,546,656,680,877,879,2463,1763,1972,1784,2093,2216,2474,3160,3775,3231,6062,7338,6672,6201,4680,4711,5002,4968,4974,4718,4093,4364,3890,4602,4653,4385,4047,3777,3496.296,3583.308,3524.379,3408.395,3399.367,3464.372,3478.662,3268.055,3142.905,3563.593,2465.894,2149.366,2320.452,2227.372
