BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in United Kingdom"
"Country: United Kingdom"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","TR:Turkey","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GB:United Kingdom",Q:S:TR:4R:F:C:A:A:TO1:A:GB,,,,,,,,,,,,,2440,1836,2301,2533,1890,1809,1704,1598,1401,1014,1200,1037,1659,1448,1440,2217,2577,1650,2687,3564,3019,2337,3759,4502,5152,5761,6124,7724,6956,7878,8488,7591,7450,8350,10718,9845,10100,9535,8400,8743,6479,8241,6891,7152,7195,6489,6883,6466,6658,6745,7197,7396,6970,7698,5761,6511.585,6351.366,7304.773,6003.087,7096.012
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GB:United Kingdom",Q:S:CA:4R:U:C:A:A:TO1:R:GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,44221,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,62086.08,50843.555,57516.87,57683.215
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GB:United Kingdom",Q:S:DE:4R:F:C:A:A:TO1:A:GB,,,,,,,308920,-,271083,318218,321713,319783,346458,359015,385668,482750,464202,438377,469471,509586,487724,530285,590805,534537,520046,635394,627337,663801,734201,724276,716295,676562,565564,717078,759319,685755,662416,780225,839842,806482,782558,886240,769242,723128,509133,497647,515172,503446,500618,482585,462070,494258,465682,519866,511202,509804,458789,459768,441281,466723,409259,432382,423712,452118,415748,445435,460895,422993,391126,397470,415382,412808
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4B:Domestic Banks","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GB:United Kingdom",Q:S:GB:4B:U:C:A:A:TO1:A:GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2893082,3002392,2849467,2690582,2567521,2687536,2570979
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GB:United Kingdom",Q:S:GR:4R:U:C:A:A:TO1:R:GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,4295,4212,4305,3593,3776,3600,3739,3543
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","GB:United Kingdom",Q:S:BE:4R:U:C:A:A:TO1:B:GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45110,42919,66031,52998,55350,53472,60676,80380,91404,91092,114273,84402,93991,100563,68449,54583,43021,36505,38195,13948,13412,13796,18410,14263,12616,13606,15156,14105,12809,14073,13005,13178,12924,10645,11920,10034,10420,10721,10544,11255,11173,9369,9994
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","GB:United Kingdom",Q:S:FR:4R:U:C:A:A:TO1:B:GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124377,146125,148750,149082,180050,191779,190160,193385,273995,269768,261057,264694,329554,296738,248872,241645,209310,210470,180643,159404,\,\,\,145611,167394,160399,134349,88872,143625,115470,109060,124763,147226,126111,131805,124273,127341,117121,123802,98015,114533,112066,121527
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","GB:United Kingdom",Q:S:GR:4R:U:C:V:A:TO1:A:GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3418,913,749,970,955,943,700,664
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","GB:United Kingdom",Q:S:US:4R:U:C:A:A:TO1:F:GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219812,249952,250440,227708,211285,220286,215666,225255
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4B:Domestic Banks","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GB:United Kingdom",Q:S:GB:4B:U:C:A:A:TO1:R:GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2357475,2450195,2344221,2194360,2084451,2178905,2119727
