BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Croatia"
"Country: Croatia"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","HR:Croatia",Q:S:5A:4C:F:I:A:U:TO1:A:HR,,,,,,,,,,,,,,,0,-,1,-,24,-,71,-,0,-,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","HR:Croatia",Q:S:FR:4R:U:C:A:A:TO1:B:HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,23,45,39,566,548,882,886,1627,813,462,858,637,299,562,602,603,672,961,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,200
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","HR:Croatia",Q:S:IT:4R:F:B:A:A:LC1:A:HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,11170,\,\,\,\,\,\,\,\,\,\,\,11676.912,11621.822,11731.072,10643.282,10531.431,9070.289,9773.332,9580.832
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","HR:Croatia",Q:S:US:4R:Q:C:A:A:TO1:A:HR,,,,,,,,,,,,,,,,,,,,,,,6,-,-10,3,14,-19,-32,-16,-25,-6,-17,-10,-6,5,-11,21,\,-9,-4,4,14,16,3,11,5,12,3,-24,4,4,4,-4,-3,-3,-2,-53,-50,-50,-47,-48,-72,-72,-66,-68,-62,-64,-59,-60,-58,-55,-49,-49,-46,-60,-51,-55,-35,-30,-31,-44,-46,-46,29,-63,-26,-35
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","HR:Croatia",Q:S:ES:4R:U:C:A:A:TO1:R:HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,53.02,46.307,48.831,48.824
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","HR:Croatia",Q:S:AT:4R:U:C:A:A:TO1:R:HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,20857.291,20731.951,20446.458,16133.998,15829.771,14187.534,14514.148,13974.553
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","HR:Croatia",Q:S:JP:4R:U:X:A:A:TO1:A:HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,120,90,79,79,76,51,29,101,71,72,112,98,77,64,43,42,41,35,31,26,24,19,16,15,13,13,13,13,13,13,13,24,39,37.6,43.7,42.5,42.7,41.9,34.8,41.2,41.2
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","HR:Croatia",Q:S:BE:4R:U:C:A:A:TO1:F:HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,-,-,1,-,-,1
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","HR:Croatia",Q:S:5A:4O:F:I:A:A:TO1:A:HR,167,-,183,-,355,-,476,-,691,-,962,-,1521,-,2101,-,3006,-,3303,-,3757,-,4337,-,4241,4020,4186,3995,7303,7004,6929,7366,7738,7594,9339,9613,11709,12348,13303,13718,15777,16374,16313,16160,18884,19266,24077,25517,27779,29404,34214,34946,36047,40994,42200,45584,60382,66640,55106,48822,47042,45021,49061,51091,49703,51712,49079,52242,52146,56306,57855,52657,54595,60049,53906.953,54128.228,54597.572,53535.379,53572,53607.537,53214.597,52813.206,51950.189,43398.406,42032.789,38552.172,39141.737,38226.245
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","HR:Croatia",Q:S:FR:4R:F:C:A:A:TO1:A:HR,32,-,16,-,21,-,13,-,10,-,22,-,31,-,93,-,151,-,103,-,127,-,140,-,156,123,145,187,224,168,139,155,125,142,170,137,165,134,189,238,113,185,199,231,312,261,316,523,563,589,2802,6871,6959,7600,8933,7737,7700,8807,8723,5697,5828,6099,6547,6758,6969,6095,5300,5801,\,6238,6420,5750,5472,5865,5384,5327,5343,5584,5501,5670,\,\,\,\,\,\,\,4297
