BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Canada"
"Country: Canada"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","CA:Canada",Q:S:KR:4R:F:I:A:U:TO1:A:CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877,1052,356,407,379,436,443,342,398.226,388.813,464.61,362.812,354.693,394.616,634.038,511.039
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","CA:Canada",Q:S:SE:4R:U:C:A:A:TO1:F:CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.138,207.406,220.354,22.067,146.301,134.216,19.468,17.382
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","CA:Canada",Q:S:US:4R:F:I:A:U:TO1:A:CA,,,,,,,6904,-,9571,6078,7620,7056,7609,7748,8687,7350,7761,8246,6161,6617,6311,5976,5437,6148,8623,7449,8873,7922,7569,8294,7163,7806,7692,6624,9134,9938,11861,16761,15374,18190,16117,12020,15331,11479,14849,25195,19722,27227,24117,28440,23466,26448,26160,26833,26485,26145,25352,29558,32697,37482,40116,41171,44669,40728,36454,38787,35266,32753,35850,35961,34918,35007
"Q:Quarterly","S:Amounts outstanding / Stocks","IE:Ireland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","CA:Canada",Q:S:IE:4R:U:C:A:A:TO1:B:CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,2966,2540,3661,4023,3534,4426,4416,3978,4946,3890,3549,3306,3260,3245,2898,2509,2133,1774,1939,1730,1549,1104,1521,352,347,265,249,186,36,157,228,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CA:Canada",Q:S:IT:4R:U:X:A:A:TO1:A:CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,372,\,\,\,\,\,\,\,\,\,\,\,395.915,381.759,335.564,69,101.128,78.219,58.158,100.31
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CA:Canada",Q:S:CH:4R:U:X:A:A:TO1:A:CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8597,7572,7589,7510,7053,7735,7399,9301,9032,4985,5575,6435,4810,4190,2838,3082,3046,3332,3856,2528,2715,2810,2887,2931,3054,3122,3281,3469,3215,3288,4186,3104,3223,2812,2508.475,2669.181,2560.983,3511.675,2639.432,2816.323,6653.712,3360.457
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CA:Canada",Q:S:CH:4R:U:C:A:A:TO1:A:CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13023,14012,12077,14767,13586,15618,15807,18543,22874,22764,21967,19163,20012,24705,19071,16287,15607,15325,18702,18689,17623,23136,24096,24726,20088,18629,18843,25876,21596,24501,21860,19041,17504,19209,24523.275,25166.23,27128.672,25614.807,24525.297,25125.07,25093.431,24924.421
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","CA:Canada",Q:S:US:4R:F:B:A:A:LC1:A:CA,,,,,,,13297,-,11006,11792,11863,13353,33722,31955,32831,32922,31068,32182,17690,16578,16619,16676,20059,18235,18995,19448,20533,21359,23021,24472,24578,26607,27865,31524,37298,39662,38817,38791,43687,49849,48072,46430,46904,42316,39394,47215,62793,67330,66081,73822,73492,69624,68534,75265,71359,65967,59435,64398,58244,63049,60554,53581,50959,56397,50825,60199,56265,51457,58517,55199,59047,51087
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","CA:Canada",Q:S:5A:4R:F:B:A:A:LC1:A:CA,,,,,,,26627,-,37901,40438,40853,42133,62870,60675,62710,62800,59578,61169,48670,46122,52633,57434,63958,63407,71284,70817,73711,79439,84194,89620,92198,99508,105281,112894,124291,130519,134148,142172,159252,178489,189091,182908,183406,178107,151190,155443,178780,195067,199801,219990,208659,207334,207503,221448,219539,198116,195070,202392,195845.019,208571.2,164270.688,156779.944,150514.356,159042.008,145615.991,153470.768,151675.236,140767.029,145520.57,134061.457,141514.079,132555.026
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CA:Canada",Q:S:JP:4R:Q:C:A:A:TO1:A:CA,,,,,,,386,-,879,983,505,527,973,513,189,700,923,251,1290,70,145,273,175,-37,-144,192,-21,58,-493,-406,-634,-200,698,604,656,394,451,436,1558,1008,-27,673,1088,2790,923,292,-24,-934,-1132,-12,-364,-1671,-1062,-1578,-493,-1028,-889,-2315,-1963,-2022,-619,-8,-206,-46,-289,-740.6,18,-586.7,158.7,-587.7,-443,-830.4
