BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Spain"
"Country: Spain"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","ES:Spain",Q:S:SE:4R:U:C:A:A:TO1:O:ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940,782,712,771,753,609,623,627,749,563,581,529,556,547,488,425,455,512,806,606,209,112,59,56,12,22,22,20,1,1,2,2,1,3,-,103.059,41.008,38.11,66.003,96.017,0.101,28.072
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","ES:Spain",Q:S:AT:4R:F:I:A:U:TO1:A:ES,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2169.355,1029.871,3006.608,2278.697,\,1447.409,1462.938,2164.811
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4B:Domestic Banks","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","ES:Spain",Q:S:ES:4B:Q:C:A:A:TO1:A:ES,,,,,,,\,-,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10596.183,9054.6,10528.893,11963.317
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","ES:Spain",Q:S:5A:4R:F:I:A:A:TO1:A:ES,6,-,5,-,5,-,118001,-,114490,125040,116615,118637,123766,133686,126163,135899,128804,133337,155458,162319,178881,196831,226000,228405,257712,266056,289569,297397,345979,350762,360203,391535,391195,464152,495740,519092,569268,644784,693805,741270,763153,809109,795007,726976,672574,623515,657024,662947,664067,593115,500456,551473,485521,495722,508344,434186,365360,387931,347956.415,345545.647,354075.729,352082.258,364293.513,376834.708,392499.097,392247.05,398237.376,354770.51,351406.541,337672.335,336995.352,339182.636
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4B:Domestic Banks","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","ES:Spain",Q:S:ES:4B:F:I:A:U:TO1:A:ES,,,,,,,\,-,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9877.281,6841.865,7318.393,7401.751
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","ES:Spain",Q:S:GB:4R:U:C:A:A:TO1:O:ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6448,5490,6481,6666,4877,6660,4857,7740,8120,7941,6890,6018,6692,6721,9092,5296,4597,3386,5094,9191,7573,9227,9998,9589,8629,7638,6084,4440,4109,4514,5040,5028,3545,2604,2358,2754,1966,2460,966,2808,3237,2007,2758
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","ES:Spain",Q:S:BE:4R:U:C:A:A:TO1:B:ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8220,7658,8299,9535,11816,12615,13709,15279,18640,21957,23155,24179,25905,29414,28999,28465,25973,25240,27429,11964,10760,8644,9702,10514,10527,13172,10533,3902,3940,3477,3405,3352,4362,5283,6550,4977,5187,4056,3310,3866,3718,2370,2401
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","ES:Spain",Q:S:DE:4R:F:B:A:A:LC1:A:ES,,,,,,,9284,-,10702,10460,10150,10050,11587,10636,9623,11046,9669,9953,10355,10588,12216,13768,16427,16558,17738,17302,17648,18385,20656,19502,18508,19190,20111,22560,25072,25611,29426,32419,32333,35800,38330,42315,43594,39443,37701,36764,34983,38170,35535,32917,27621,32570,30823,33295,31592,30293,29920,31396,28039,28558,29302,27541,27432,27518,27622,26560,21585,19935,17857,17101,17392,17806
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","ES:Spain",Q:S:KR:4R:F:C:A:A:TO1:A:ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,216,141,135,169,136,166,157,178.522,171.916,178.165,155.577,153.171,178.188,183.628,326.707
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4B:Domestic Banks","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","ES:Spain",Q:S:ES:4B:U:C:A:A:TO1:R:ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1539228.185,1370997.622,1412066.766,1392402.29
