BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Marshall Islands"
"Country: Marshall Islands"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:AT:4R:U:C:A:A:TO1:A:MH,,,,,,,,,,,0,0,1,1,-,-,-,-,-,-,1,4,\,15,3,-,-,-,6,3,2,4,2,6,3,2,2,2,\,\,\,\,\,\,\,\,\,\,\,3.696,3.521,3.3
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:5A:4R:F:C:A:A:TO1:A:MH,1856,1868,2073,2138,2432,2339,2559,2950,3746,4679,6078,6627,8033,8503,9342,10108,10746,12363,15021,17457,20260,22936,24199,27053,27594,29997,30634,31164,31195,31738,32075,32401,33816,35347,36258,35861,37445,36620,37406.396,37143.711,36264.985,38505.737,38560.486,38447.941,40061.101,38447.899,41603.679,42803.965,43339.82,44385.653,44544.016,46208.588
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:GR:4R:F:C:A:A:TO1:A:MH,,,,,0,0,0,0,362,362,560,560,602,486,510,370,276,417,792,842,1049,2401,2722,2459,2523,2620,2693,2578,2867,2810,2974,2976,3371,3000,2984,3015,2922,2924,2854,2564,2299,4107,3981,4198,4238,2218,4326,4002,4617,4396,4076,4265
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:GR:4R:U:C:V:A:TO1:A:MH,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,34,28,24,20,16,14,6,3
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","MH:Marshall Islands",Q:S:TW:4R:U:C:A:A:TO1:B:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,-,\,\,\,-,-,-,-,-,-,-,-,-,-,-,9,-,-,14
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","MH:Marshall Islands",Q:S:GB:4R:U:C:A:A:TO1:B:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,-,-,-,-,-,-,-,-,-,3
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:CH:4R:U:W:A:A:TO1:A:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,18.792,19.241,15.116,9.28,6.65,3.626,5.319
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:5A:4R:Q:C:A:A:TO1:A:MH,378,395,-63,84,-111,-241,-152,-308,-508,-903,-1231,-1112,-1468,-1335,-1274,-980,-868,-720,-890,-787,-2502,-2769,-2064,-1841,-1982,-2646,-3031,-3337,-3244,-3273,-3257,-3408,-3330,-4685,-3687,-4514,-4020,-4335,-3414,-129.657,-135.008,-1393.019,-894.821,-170.047,-8988.15,-8528.446,-12132.314,-13164.847,-8978.456,-9344.494,-7425.709,-6910.856
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:SE:4R:F:I:A:A:TO1:A:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2253,2140,2119,2144,2213,2436,2420.281,2510.395,2529.379,2662.587,2920.844,3149.922,3231.633,3423.072
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:AU:4R:F:C:A:A:TO1:A:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,11,24,42,45,76.396,77.711,82.985,124.737,207.486,214.941,334.988,397.713,323.649,282.263,349.493,430.172,444.077,507.84
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:FR:4R:Q:C:A:A:TO1:A:MH,0,-,-631,-567,-580,-577,-566,-548,-469,-783,-768,-595,-563,-458,-547,-509,-397,-527,-712,-799,-1009,-1241,-1326,-1548,-2068,-2271,-2516,-2550,-2621,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-78
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:IT:4R:F:C:A:A:TO1:A:MH,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1355,\,\,\,\,\,\,\,\,\,\,\,1317.999,1240.296,1173.915,1149.959,1108.005,1132.163,1127.535,1157.33
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:ES:4R:U:C:A:A:TO1:A:MH,,,,,,,,,,,6,5,7,11,16,21,28,39,40,30,38,41,39,52,67,98,72,97,82,84,72,64,67,68,73,84,59,115,140,72,80,101,104,113,104,102.198,93.757,80.229,91.901,95.601,91.801,210.589
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:AU:4R:F:I:A:A:TO1:A:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,11,24,42,45,76.396,77.711,82.985,124.737,207.486,214.941,334.988,397.713,323.649,282.263,349.493,430.172,444.077,507.84
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","MH:Marshall Islands",Q:S:FR:4R:U:C:A:A:TO1:B:MH,,,,,,,,,,0,-,-,-,-,-,0,-,1,-,45,-,-,-,-,1,1,-,0,0,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,-,-,\,\,\,1
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:CH:4R:F:C:A:A:TO1:A:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3634.905,3536.674,3781.641,3967.797,4322.016,4369.337,4454.497,4573.292
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","MH:Marshall Islands",Q:S:5A:4R:U:C:A:A:TO1:B:MH,,,,,,,,,,13,12,12,13,11,9,49,11,6,0,46,117,33,33,94,53,49,9,6,8,13,17,58,45,67,67,43,79,110,83,182.899,173.013,75.554,184,183,30.973,78.215,1.029,3,17,8,3,15.001
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:FR:4R:U:W:A:A:TO1:A:MH,,,,,,,,,,0,-,-,1,1,-,0,21,13,12,13,4,5,82,73,27,272,291,184,189,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:US:4R:F:C:A:A:TO1:A:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421,1741,1854,2102,2482,2643,2756,3027
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","MH:Marshall Islands",Q:S:GB:4R:U:C:A:A:TO1:F:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065,1016,1013,935,1802,28,29
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:TW:4R:U:C:A:A:TO1:A:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,203,182,210,224,307,298,465,464
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:TW:4R:Q:C:A:A:TO1:A:MH,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-454,-387,-323,-345,-351,-322,-331,-386
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:GB:4R:F:I:A:A:TO1:A:MH,,,,,77,81,69,414,497,609,810,529,1649,1847,1872,2178,2405,3020,3403,4008,4581,4855,5288,5573,4997,5281,5237,5212,5308,5378,5204,4545,4642,4836,4839,4158,4151,4328,4359,4220,4294,4198,3943,4087,3912,4110,3625,3563,3395,3280,2716,2367
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:GR:4R:F:I:A:A:TO1:A:MH,,,,,0,0,0,0,362,362,560,560,602,486,510,370,276,417,792,842,1049,2401,2722,2459,2523,2620,2693,2578,2867,2810,2974,2976,3371,3000,2984,3015,2922,2924,2854,2564,2299,4107,3981,4198,4238,2218,4326,4002,4617,4396,4076,4265
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:ES:4R:F:C:A:A:TO1:A:MH,3,7,8,20,20,20,20,20,20,19,6,6,8,23,28,33,39,40,40,40,45,50,49,62,76,106,80,105,90,91,79,64,68,69,86,123,105,169,203,139,155,176,177,184,173,170.058,159.427,144.769,154.35,157.06,150.986,274.095
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:SE:4R:U:C:V:A:TO1:A:MH,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,34,\,\,\,\,\,42,48,43,53,43,47,36.83,54.271,100.002,118.639,201.836,257.566,229.213,283.012
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","MH:Marshall Islands",Q:S:AT:4R:U:C:A:A:TO1:R:MH,,,,,,,,,,,\,\,\,\,-,-,-,-,-,-,\,\,\,\,\,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3.654,3.481,3.262
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:5A:4R:U:W:A:A:TO1:A:MH,,,,,,,,,,82,60,93,114,87,127,126,211,336,419,494,578,727,848,776,865,1044,980,809,633,485,497,502,401,525,171,170,162,143,189,640,671,755,624,648.825,3819.435,4046.671,3838.105,3872.846,3564.72,3503.693,3557.402,3841.87
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:SE:4R:Q:C:A:A:TO1:A:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,\,\,-29,-21,-21,-21,-17,-21,-204.816,-205.952,-174.001,-242.976,-272.365,-315.701,-270.671,-193.051
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","MH:Marshall Islands",Q:S:BE:4R:U:C:A:A:TO1:R:MH,,,,,,,,,,213,227,328,315,291,337,340,296,417,500,576,827,729,753,1065,1028,1092,1126,1054,106,114,126,131,119,119,119,139,138,145,145,146,144,143,143,142,141,101,-,1,-,1,-,1
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:US:4R:Q:C:A:A:TO1:A:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-575,-491,-451,-436,-398,-488,-537,-535
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","MH:Marshall Islands",Q:S:ES:4R:U:C:A:A:TO1:R:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,91.901,95.601,91.801,210.589
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:GB:4R:U:C:A:A:TO1:A:MH,,,,,,,,,,567,615,334,1242,1277,1333,1590,1667,2218,2514,2991,3048,3208,4623,4992,4126,4124,4112,4064,4137,4395,4399,3967,4512,3833,4796,3970,4006,3254,4502,4691,4496,3461,4063,4133,3120,3473,2901,2840,2728,2655,3259,3046
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","MH:Marshall Islands",Q:S:GR:4R:U:C:A:A:TO1:B:MH,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,-,-,-,-,5,5
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:SE:4R:U:W:A:A:TO1:A:MH,,,,,,,,,,,,,,,,,,,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,\,-,0,0,0,0,0,1,0.806,0.82,2.87,2.843,3.617,4.881,3.992,2.45
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","MH:Marshall Islands",Q:S:SE:4R:U:C:A:A:TO1:R:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1264,\,\,\,\,\,2224,2119,2098,2123,2196,2415,2215.466,2298.828,2355.173,2419.308,2648.21,2834.221,2960.962,3229.932
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","MH:Marshall Islands",Q:S:5A:4R:U:C:A:A:TO1:F:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115.894,2651.518,2479.753,2987.605,3225.312,4308.633,2809.822,3423.593
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:IT:4R:Q:C:A:A:TO1:A:MH,,,,,,,,,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-140,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","MH:Marshall Islands",Q:S:GB:4R:U:C:A:A:TO1:R:MH,,,,,,,,,,567,615,334,1242,1277,1333,1590,1667,2218,2514,2991,3048,3208,4623,4992,4126,4124,4112,4064,4137,4395,4399,3967,4512,3833,4791,3965,4001,3249,4502,4691,4496,3461,4063,4133,3120,3473,2901,2839,2728,2655,3259,3046
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:GB:4R:Q:C:A:A:TO1:A:MH,,,,,11,2,-5,-83,27,-42,-195,-195,-407,-571,-538,-588,-738,-802,-889,-1017,-1533,-1648,-665,-581,-871,-1157,-1125,-1148,-1171,-983,-805,-578,-130,-1003,-43,-189,-145,-1074,143,472,202,-736,120,45,-792,-637,-723,-723,-666,-625,543,679
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:5A:4R:U:C:V:A:TO1:A:MH,,,,,,,,,,1235,89,1671,1897,80,93,115,156,143,102,273,504,1316,755,1188,2985,2636,1715,2129,1664,1806,2328,2539,1961,1812,1985,2310,1992,1983,2094,2107,1830,1721.078,1410,1445,1456.703,946.79,1124.713,1053.062,1039.329,1155.514,954.04,1570.634
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:FR:4R:F:I:A:U:TO1:A:MH,56,62,104,84,188,197,231,77,75,179,158,155,137,195,202,209,178,130,240,322,332,332,244,237,227,224,240,243,584,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,121
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:5A:4R:U:X:A:A:TO1:A:MH,,,,,,,,,,1499,2023,2725,3499,5009,4724,4046,5559,6040,6944,7999,9137,8766,10673,10251,8420,9561,9104,7557,7249,6354,5656,5632,5869,6186,7276,5159,4818,4259,3709,3713,3210,3575,2970,3798.021,3254.456,4079.946,3954.455,5059.07,4076.992,5099.926,4934.246,6008.793
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:CH:4R:Q:C:A:A:TO1:A:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-498.281,-459.82,-472.786,-493.889,-687.588,-787.859,-807.804,-963.087
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:TW:4R:U:X:A:A:TO1:A:MH,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,\,\,\,\,\,\,\,\,\,\,\,85,226,223,233,236,317,288,204
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:FR:4R:F:C:A:A:TO1:A:MH,730,725,778,715,691,676,712,631,639,840,843,704,703,660,788,728,802,802,1043,1352,1788,2058,2244,2541,3028,3277,3579,3523,4452,4488,4653,5099,\,6199,6499,7028,7009,5236,5496,5756,4862,4862,4814,4013,\,\,\,\,\,\,\,3765
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:AT:4R:F:C:A:A:TO1:A:MH,,,,,,,,,,,0,0,1,-,-,-,-,-,-,-,\,\,-,\,-,-,-,-,2,3,2,2,2,2,2,1,\,\,\,\,\,\,\,\,\,\,\,\,\,3.694,3.519,3.298
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:FR:4R:F:I:A:A:TO1:A:MH,730,725,769,706,681,676,712,631,639,840,843,704,703,660,788,728,802,802,1043,1352,1788,2058,2244,2490,2971,3220,3521,3464,4389,\,4577,5018,5503,\,6415,6944,6923,5076,5302,5649,4733,4734,4688,3887,\,\,\,\,\,\,\,3763
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:IT:4R:U:W:A:A:TO1:A:MH,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,19,\,-,-,-,-,-,-,-,-,-,-,\,\,\,-,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:IT:4R:F:I:A:U:TO1:A:MH,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,219,\,\,\,\,\,\,\,\,\,\,\,70.369,67.962,54.823,46.523,29.841,29.721,30.616,33.088
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:DE:4R:U:C:A:A:TO1:A:MH,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,13100,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:BE:4R:Q:C:A:A:TO1:A:MH,-21,-8,-8,-,-40,-41,-32,-25,8,-33,-29,-18,-21,-16,1,\,\,91,99,-43,221,60,10,47,103,99,51,-9,-,-,-,-,-,-,-,-,-,1,1,1,1,1
