BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Marshall Islands"
"Country: Marshall Islands"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:SE:4R:U:C:A:A:TO1:A:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1264,\,\,\,\,\,2224,2119,2098,2123,2196,2415,2215.466,2304.443,2355.378,2419.611,2648.479,2834.221,2960.962,3230.021
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","MH:Marshall Islands",Q:S:FR:4R:F:B:A:A:LC1:A:MH,0,0,9,9,10,-,-,-,0,0,-,-,-,-,-,0,-,-,-,-,-,-,-,51,57,57,58,59,63,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,-,2
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:CH:4R:F:I:A:U:TO1:A:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3370.655,3303.958,3537.522,3625.896,3993.651,3979.714,3952.473,4115.103
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:FR:4R:U:C:A:A:TO1:A:MH,,,,,,,,,,56,75,110,140,202,242,219,405,275,331,553,779,817,919,993,962,1007,1064,975,1831,1848,1991,1937,2213,2652,2691,2868,2705,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3687
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:TW:4R:F:I:A:A:TO1:A:MH,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,384,\,\,\,\,\,\,\,\,\,\,\,657,572,534,569,658,620,796,850
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:5A:4O:F:I:A:U:TO1:A:MH,209,224,349,340,510,511,741,835,939,1073,1725,1821,2105,2491,3416,3283,3822,2699,4395,4149,4823,5491,5383,6384,6604,6303,6168,6211,6919,7028,7156,7721,8802,8970,8565,9395,9499,9322,8906.396,8881.81,8615.511,10407.407,8770.158,8992.574,11391.574,9097.343,10296.247,10199.873,10924.221,10847.267,11210.716,10780.407
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","MH:Marshall Islands",Q:S:GR:4R:U:C:A:A:TO1:O:MH,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,-,21,21,20,20,19,19,19
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:GB:4R:U:C:V:A:TO1:A:MH,,,,,,,,,,6,77,53,50,47,61,60,43,41,42,57,165,481,221,387,716,668,400,488,384,408,504,572,385,341,360,446,405,385,411,287,146,132,109,201,112,35,109,110,112,117,101,115
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","MH:Marshall Islands",Q:S:5A:4R:F:B:A:A:LC1:A:MH,0,0,9,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,69,326,57,58,59,63,75,76,81,82,81,84,84,86,160,194,107,129,128,126,126,125,84,85,83,-,62.402,57.064,58.015
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:BE:4R:F:I:A:U:TO1:A:MH,16,-,-,-,-,-,-,23,25,94,236,204,185,43,218,214,208,121,162,357,313,282,375,422,361,349,358,348,106,114,126,131,119,119,119,139,138,144,144,145,144,143,143,142,141,101,-,1,-,1,-,1
