BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Guernsey"
"Country: Guernsey"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:5A:4R:U:W:A:A:TO1:A:GG,,,,,,,,,,,,,,,,1787,1572,1851,902,931,854,1142,1812,2232,2816,4133,4003,10860,11558,10417,8659,7861,10393,8426,7313,7336,7111,7449,7827,7875,6628,6629,6284,5058,5202.9,5871.016,5779.976,6587.549,7548.664,7105.707,8840.931,8577.933,6176.425,5014.02,4628.569,3861.187,3964.163,4152.921
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GG:Guernsey",Q:S:BE:4R:U:C:A:A:TO1:R:GG,,,,,,,,,,,,,,,,73,68,61,67,155,364,542,289,317,380,525,526,533,438,458,237,70,119,130,62,58,53,105,110,112,110,108,107,112,103,105,112,110,93,93,86,84,85,85,84,82,82,82
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GG:Guernsey",Q:S:ES:4R:U:C:A:A:TO1:R:GG,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,774.611,718.314,801.862,863.128
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:JP:4R:F:C:A:A:TO1:A:GG,0,0,210,222,62,42,286,462,666,1282,1585,2161,2143,2094,2642,2485,2558,2626,2623,2797,2886,2995,2998,2942,3906,4156,4372,4963,4630,4707,5214,4447,4511,4566,3952,4020,4151,4687,4872,4759,4956,4985,4941,4767,4911,5213,4618,8215,7896,6816,6277,5896,5796,4984,4359.7,3877.2,3608.4,3069.5
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:ES:4R:F:C:A:A:TO1:A:GG,,,70,67,89,83,99,111,62,14,15,14,24,20,31,39,47,60,115,230,368,428,417,445,534,955,1002,1129,1013,834,620,685,718,768,784,790,798,915,949,934,596,660,805,642,603,766,824,835,877,1048,1057,965.934,1052.517,966.086,921.238,842.405,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","GG:Guernsey",Q:S:TW:4R:U:C:A:A:TO1:F:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,324,334,327,11,11,12,10
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:GR:4R:F:I:A:U:TO1:A:GG,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,96,97,96,89,51,46,48,48
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","GG:Guernsey",Q:S:5A:4R:U:C:A:A:TO1:O:GG,,,,,,,,,,,,,,,,51,53,77,52,44,59,36,270,101,21,25,110,109,102,173,81,99,130,107,85,94,60,61,58,49,42,34,35,35,51,54,46,57,44,63,66.8,108.8,122.8,422.8,452.549,410.917,406.259,122.27
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:CH:4R:U:C:V:A:TO1:A:GG,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,202.42,233.332,189.136,439.652,331.246,307.887,180.763,156.028
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:AT:4R:F:I:A:U:TO1:A:GG,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,31.343,13.773,80.504,10.121,12.964,13.12,35.023,31.265
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:FR:4R:U:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,529,491,580,478,976,776,958,1080,1456,1654,1710,1973,2327,2797,2117,1527,1248,1067,1004,877,631,570,595,805,1485,1557,1128,1556,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1102
"Q:Quarterly","S:Amounts outstanding / Stocks","NL:Netherlands","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:NL:4R:F:C:A:A:TO1:A:GG,,,186,183,123,180,87,129,128,251,474,323,158,173,576,281,498,203,384,573,692,697,647,645,1431,1423,1473,1384,1316,1226,1804,1350,1782,1603,1838,1015,922,1090,1239,1438,1030,1790,1150,1012,1188,1020,1111,1219,898,1082,1125.346,956.887,1159.564,1129.953,1120.614,1049.003,1094.284,1287.225
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:SE:4R:F:C:A:A:TO1:A:GG,,,7,7,8,8,9,47,48,15,13,18,10,10,20,18,31,30,31,25,121,87,39,41,46,49,57,216,226,142,114,109,121,139,211,135,140,379,387,371,312,278,228,450,786,601,1546,4127,3484,4101,\,\,\,\,2891.623,\,3377.667,3682.179
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","GG:Guernsey",Q:S:5A:4R:U:C:A:A:TO1:F:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5770.224,9995.103,9609.484,8853.82,14076.986,10947.924,12072.229,12545.026
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:AU:4R:U:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,232,154,218,226,217,240,239,253,242.611,228.915,366.993,296.291,374.245,348.103,361.053,317.011,253.023,188.6,194.615,129.547,109.906,101.151
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:IT:4R:U:W:A:A:TO1:A:GG,,,,,,,,,,,,,,,,\,\,\,\,\,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,14,\,\,\,\,\,\,\,\,\,\,\,\,\,\,77,88.451,53.448,42.439,10.452
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:ES:4R:U:X:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,63.575,53.231,10.645,26.498,111.211,78.006,96.255
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:AT:4R:U:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,552,579,373,371,436,390,455,404,420,248,247,329,482,421,217,217,249,182,199,136,139,115,177,138,81,139,171,179,69,73,67,61,125,66,96.141,93.976,254.82,131.575,42.236,32.125,42.678,39.879
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:5A:4R:U:C:V:A:TO1:A:GG,,,,,,,,,,,,,,,,854,1196,987,959,1113,1280,1812,2454,2169,2085,2594,3670,2457,1571,2680,3750,2393,2176,2497,2112,2145,2154,2106,1728,1734,1779,2687,1992,1499,2498.797,2234.512,1501.157,1775.095,1794.298,1444.614,1096.562,1824.721,1865.495,2041.962,1933.963,1466.278,1503.508,1123.453
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:JP:4R:U:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,2255,2263,2244,2201,2364,2390,2424,2447,2392,3364,3627,3632,4132,3878,3821,4269,3532,3592,3624,3426,3492,3657,3983,4236,4136,4268,4279,4166,3988,3943,4197,3652,7380,7100,6320,5758.4,5357.8,5196.1,4377.2,3849.2,3429.4,3173.1,2736.6
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:ES:4R:U:C:V:A:TO1:A:GG,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,43.354,39.412,36.633,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GG:Guernsey",Q:S:SE:4R:U:C:A:A:TO1:R:GG,,,,,,,,,,,,,,,,,27,31,29,23,45,47,38,40,47,48,57,136,145,142,113,110,120,137,209,132,135,373,381,364,303,268,221,362,702,511,1491,843,991,1289,3196.247,3321.894,3434.337,2768.651,2828.853,2281.556,3318.986,3630.457
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","GG:Guernsey",Q:S:BE:4R:U:C:A:A:TO1:F:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,-,-,5,4,2,2,2
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:FI:4R:Q:C:A:A:TO1:A:GG,,,-62,-122,-140,-138,-147,-153,-160,-82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,\,\,\,\,\,\,0,\,\,\,\,-,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:FI:4R:F:C:A:A:TO1:A:GG,,,108,169,195,189,201,209,219,142,-,-,\,-,\,-,\,\,\,\,\,\,\,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:DE:4R:U:X:A:A:TO1:A:GG,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,76,63,61,424,352,69,105,268
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:JP:4R:U:C:V:A:TO1:A:GG,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:CH:4R:U:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:FR:4R:F:I:A:A:TO1:A:GG,,,283,347,825,547,660,301,331,299,412,440,883,460,406,519,580,496,560,1039,889,1879,1109,1555,1740,1751,2006,2393,3600,1817,1707,1563,1682,1673,1695,\,1292,1127,809,\,1687,1113,1536,1183,1344,1850,1747,1993,1620,1663,\,\,\,\,\,\,\,1514
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","GG:Guernsey",Q:S:SE:4R:U:C:A:A:TO1:B:GG,,,,,,,,,,,,,,,,,,,1,-,-,-,-,-,-,-,-,79,79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,2.516,2.446,3.933,3.966,2.059
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:CH:4R:U:X:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,493.383,1131.817,795.227,838.888,1435.158,538.8,590.451,471.527
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GG:Guernsey",Q:S:TW:4R:U:C:A:A:TO1:R:GG,,,,,,,,,,,,,,,,78,98,146,206,213,320,350,451,383,364,381,287,246,149,119,87,88,134,174,235,238,194,218,177,161,147,106,117,126,161,245,241,216,233,310,309,324,334,327,11,11,12,10
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:FR:4R:U:X:A:A:TO1:A:GG,,,,,,,,,,,,,,,,83,160,535,674,800,225,305,241,189,385,481,236,527,1009,547,543,514,595,127,177,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,60
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:TW:4R:F:C:A:A:TO1:A:GG,,,9,8,10,8,11,15,26,25,34,52,34,35,70,97,103,162,232,218,325,356,466,412,383,390,296,255,168,133,97,98,144,189,260,258,215,239,208,192,168,132,144,152,187,267,247,236,253,330,314,339,349,336,300,232,226,230
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:TW:4R:U:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,78,98,146,216,213,320,350,461,393,374,381,287,246,149,119,87,88,134,179,245,243,199,223,182,166,152,111,122,126,161,245,241,216,233,310,309,324,334,327,292,228,222,227
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","GG:Guernsey",Q:S:GR:4R:F:B:A:A:LC1:A:GG,,,,,,,,,,,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:GB:4R:F:I:A:A:TO1:A:GG,,,3753,3827,4483,4663,4666,4623,5127,4999,5246,5986,5764,5644,5992,6546,6335,6361,6509,7150,11226,14703,12959,12560,15505,15486,17598,18766,16900,16123,10019,9934,10854,10044,9967,7920,8163,8177,8103,8584,7159,6593,7179,8018,7735,8677,8462,7595,6951,7475,7413,8413,7287,8185,11807,6840,6726,6965
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:JP:4R:F:I:A:U:TO1:A:GG,0,0,0,0,0,10,43,0,17,0,1,23,21,20,26,23,21,18,9,26,13,126,117,99,102,95,99,206,122,116,427,405,391,428,208,286,324,364,231,210,117,97,160,151,173,460,517,538,511,118,146,218,283,420,471.1,459.4,569.7,372.3
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:GB:4R:U:C:V:A:TO1:A:GG,,,,,,,,,,,,,,,,159,285,152,136,66,102,144,100,104,165,242,846,509,374,882,1442,1093,871,972,620,840,836,920,551,428,596,1232,966,655,1473,1284,726,815,716,487,387,610,633,832,738,811,546,582
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:5A:4O:F:C:A:A:TO1:A:GG,0,0,10845,10248,12005,11836,12140,17511,20121,21074,22450,25198,24626,26384,26671,27433,27674,26526,25328,31955,36126,41147,40870,43962,50044,49753,52174,58119,56282,55304,45787,40217,43370,42995,40946,36473,34941,36221,36001,39275,36165,36772,36766,36911,36399.686,39615.957,37326.046,42252.706,39688.537,40174.336,40468.727,43859.944,42578.95,43022.198,44943.568,37680.789,40481.012,40344.983
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","GG:Guernsey",Q:S:ES:4R:F:B:A:A:LC1:A:GG,,,4,1,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,87,89,0,0,15,17,17,17,17,18,13,13,15,15,13,13,13,14,12,13,13,3,0,0,0,0,0,0,0,0,0,-,-,-,-,-,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:JP:4R:Q:C:A:A:TO1:A:GG,0,0,-135,-175,-60,-30,-30,-56,-25,-133,-43,-22,-29,-28,-200,-230,-295,-382,-422,-433,-496,-571,-551,-550,-542,-529,-740,-831,-752,-886,-945,-915,-919,-942,-526,-528,-494,-704,-636,-623,-688,-706,-774,-779,-968,-1016,-966,-835,-796,-496,-518.6,-538.2,-599.9,-606.8,-510.5,-447.8,-435.3,-332.9
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:FI:4R:F:I:A:A:TO1:A:GG,,,108,169,195,189,201,209,219,142,-,-,\,-,\,-,\,\,\,\,\,\,\,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:ES:4R:Q:C:A:A:TO1:A:GG,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-12.024,-8.366,2.344,-11.346
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:IT:4R:F:I:A:A:TO1:A:GG,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,849,\,\,\,\,\,\,\,\,\,\,\,509.628,550.26,492.002,498.483,540.326,367.365,251.314,255.325
"Q:Quarterly","S:Amounts outstanding / Stocks","NL:Netherlands","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:NL:4R:U:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,281,460,202,412,596,877,871,859,801,1500,1397,1557,1670,1448,1418,1516,1165,1570,1439,1638,837,715,788,912,889,1172,1374,1281,1133,1358,1015,1106,1215,911,944,968.128,938.963,1048.934,851.869,906.933,873.631,885.05,1021.714
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:SE:4R:F:I:A:A:TO1:A:GG,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,786,601,1546,4127,3484,4101,3248.061,3373.674,3497.393,2834.616,2891.623,2337.523,3377.667,3682.179
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:IT:4R:U:X:A:A:TO1:A:GG,,,,,,,,,,,,,,,,\,\,-,-,\,\,-,-,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,292,\,\,\,\,\,\,\,\,\,\,\,132.254,111.753,103.739,4,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:TW:4R:Q:C:A:A:TO1:A:GG,,,-9,-8,-10,-8,-10,-11,-11,-12,-24,-24,-23,-24,-20,-19,-5,-16,-15,-5,-5,-5,-5,-19,-9,-9,-9,-9,-19,-14,-10,-10,-10,-10,-15,-15,-16,-16,-26,-26,-16,-22,-21,-26,-26,-21,-6,-20,-20,-20,-5,-15,-15,-9,-8,-4,-4,-3
