BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Guernsey"
"Country: Guernsey"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:5A:4O:F:I:A:A:TO1:A:GG,0,0,10131,9568,11370,11091,10618,15708,18104,19416,21067,23637,22993,24831,24688,25343,25562,24682,23711,29270,33444,38433,37686,40780,46645,46502,49123,55021,53136,51696,43438,37873,40620,40676,38565,34094,32067,33992,33673,36756,33494,34214,34075,34108,33726.686,36833.957,34333.046,39364.706,36776.537,37110.336,37422.727,40463.944,39148.95,39736.198,41398.431,34377.103,36675.072,37085.676
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:AT:4R:U:X:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2.895,4.764,4.289
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:AT:4R:F:C:A:A:TO1:A:GG,,0,483,479,433,431,409,419,509,538,510,484,488,484,516,538,735,745,510,505,572,511,551,514,510,391,384,469,573,427,362,465,624,598,330,256,243,212,272,238,111,147,177,182,77,81,76,70,121,62,94.874,100.505,169.529,85.125,75.725,60.997,72.467,69.755
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GG:Guernsey",Q:S:JP:4R:U:C:A:A:TO1:R:GG,,,,,,,,,,,,,,,,2159,2218,2139,2144,2256,2282,2186,2175,2264,3234,3498,3531,3865,3709,3667,4231,3478,3545,3566,3381,3312,3545,3878,4139,4052,4145,4190,4090,3906,3858,4130,3591,7260,6982,6203,5657.7,5284.6,5088.2,4309.2,3822.7,3391.8,3127.4,2687.3
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:FR:4R:Q:C:A:A:TO1:A:GG,,,,,,,,,0,37,33,22,-4,-9,12,-20,-112,-2,-111,-139,-135,-947,-108,-178,-159,-129,-123,-154,-887,-357,-311,-387,-703,-738,-880,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-414
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","GG:Guernsey",Q:S:AT:4R:U:C:A:A:TO1:B:GG,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,12.71,28.159,15.323,14.269,13.779,16.956,25.099,22.916
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:BE:4R:F:I:A:U:TO1:A:GG,,,25,11,186,227,158,64,58,44,19,21,14,4,57,198,257,34,28,18,187,354,112,490,424,334,221,451,449,516,212,27,47,47,46,41,40,92,105,107,105,103,102,103,103,105,104,103,86,86,80,80,80,86,86,86,86,80
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:AU:4R:U:W:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,-,3,3,3,3,3,3,2.9,3.016,2.976,2.549,2.664,2.707,2.769,2.52,2.501,0.285,20.238,20.757,41.884,40.805
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:SE:4R:U:X:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,15,19,16,16,15,17,18,14,14,15,19,93,94,104,1,39,11,9,0,0,0,2,1,2.986,2.955,2.952,2.892,5.531,5.462,5.16,4.416
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","GG:Guernsey",Q:S:JP:4R:U:C:A:A:TO1:F:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2774.4,2488.5,2159.2,2083.6
