BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Isle of Man"
"Country: Isle of Man"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","TR:Turkey","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:TR:4R:F:I:A:A:TO1:A:IM,,,,,,,,,6,6,6,6,6,6,6,-,6,-,6,6
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:GB:4R:U:C:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,6514,5793,4417,3365,4829,6695,6797,8431,9557,9936,11193,11404,12394,12840,12640,9846,15528,17535,17285,16618,10593,10140,10567,10594,11354,10467,8528,8454,8334,8779,9777,9720,8975,8383,8612,10130,10617,10510,9015,9830,9205,10639,10697
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:IT:4R:U:W:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,33,\,\,\,\,\,\,\,\,\,\,\,13.515,13.512,13.385,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:AU:4R:F:C:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,336,336,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,109,98,110,101,105,111,101,133,143,144.952,151.765,143.287,135.971,141.104,124.395,169.481,149.607,181.081,144.956,137.904,130.915,143.125,139.07
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","IM:Isle of Man",Q:S:GB:4R:U:C:A:A:TO1:R:IM,,,,,,,,,,,,,,,,,,,,,,6301,5698,4178,3122,4439,5798,6356,7908,8237,9177,9989,10803,11551,12185,12261,9398,15101,17071,16857,16232,10195,9787,10286,10154,10926,9738,8103,8030,7912,8320,9302,9227,8380,8172,8455,10029,10614,9856,8241,9140,8464,9883,10162
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:5A:4R:U:C:V:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,350,526,631,773,927,1053,1017,1124,1079,1025,1217,2509,1672,1799,1512,1896,1907,1709,1889,2008,2047,2237,2528,1193,810,743,1204,1262,1191,1428.432,1523.746,1108.41,773.368,770.499,1145.242,1000.552,672.726,1039.544,1564.52,1363.981,1446.276,1097.352,1257.932
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:JP:4R:U:W:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,7,7,6,8,5,7,4,4,5,6,3,-,-,-,-,2.2,2.7,3.4,2.9
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:GR:4R:F:I:A:U:TO1:A:IM,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,-,-,-,-,4,4,4
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:CH:4R:U:W:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,547.417,536.476,553.833,465.698,331.426,506.201,468.295
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","IM:Isle of Man",Q:S:DE:4R:U:C:A:A:TO1:R:IM,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3365,3238,3111,2924,2196,2601,2106,2123
