BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Isle of Man"
"Country: Isle of Man"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","IM:Isle of Man",Q:S:FR:4R:U:C:A:A:TO1:F:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,20
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:GB:4R:Q:C:A:A:TO1:A:IM,,,,,,,,,-90,154,-11,-96,-47,-201,-5,-63,-213,-164,-212,-286,-824,-987,-975,-1121,-1124,-1147,-1308,-1093,-887,-904,-1112,-1017,-1489,-1984,-1043,-845,-857,-598,-715,-1038,-1857,-1614,-1200,-1155,-1039,-819,-515,-226,-292,-513,-460,-473,-322,82,49,-152,322,740,749,909,1342,1001,887,1221
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:BE:4R:F:C:A:A:TO1:A:IM,,,,,,,,,139,113,122,146,153,84,49,75,73,67,79,100,112,115,125,103,95,159,215,205,185,196,244,326,358,422,487,343,227,95,147,100,74,74,76,85,88,104,103,103,101,103,101,101,97,94,97,91,91,89,89,87,83,81,80,77
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:GB:4R:U:C:V:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,223,278,324,407,494,568,626,665,686,644,797,840,958,1009,802,996,1002,907,1012,1032,998,1130,1531,479,196,234,414,492,516,563,531,362,273,253,604,319,295,636,728,977,1021,735,792
"Q:Quarterly","S:Amounts outstanding / Stocks","TR:Turkey","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:TR:4R:F:C:A:A:TO1:A:IM,,,,,,,,,6,6,6,6,6,6,6,-,6,-,6,6
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:JP:4R:F:I:A:U:TO1:A:IM,,,,,,,0,0,0,0,12,22,15,15,14,9,9,11,10,10,9,18,16,22,22,24,2,8,20,44,52,52,43,41,33,34,30,29,43,102,102,79,36,39,51,23,23,27,20,21,26,20,21,20,25,21,25,21,21,23,34.9,48.5,65.3,102.4
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:AU:4R:Q:C:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,-335,-335,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-11,-11,-11,-11,-,-,-,-,-,-0.002,-109.906,-35.291,-5.38,-32.423,-31.245,-63.003,-65.842,-57.12,-56.723,56.944,50.947
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:FR:4R:F:I:A:U:TO1:A:IM,,,,,,,,,64,89,73,73,74,90,158,198,244,270,229,208,257,45,80,84,261,248,1108,288,309,367,371,425,774,946,993,227,251,164,290,242,288,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,202
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","IM:Isle of Man",Q:S:TW:4R:U:C:A:A:TO1:R:IM,,,,,,,,,,,,,,,,,,,,,,,,6,6,-,-,-,-,-,-,4,16,14,14,5,6,6,5,5,5,4,17,16,17,34,34,33,33,32,32,31,42,41,46,46,45,44,57,48,47,51,56,42
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:5A:4O:F:C:A:A:TO1:A:IM,9,-,-,-,-,-,0,0,4858,4537,5203,5825,6053,5917,6345,6976,8513,8960,9097,9561,12551,14260,14165,12756,12331,14248,18310,17178,20522,22212,23910,24852,26204,29531,31597,30995,26906,32780,39719,39642,39786,32746,30373,31122,30248,30201,31355,27648,27254,27318,26515.952,27621.765,26648.287,24352.971,23580.104,23750.395,24212.74,24909.214,25368.098,23096.087,23034.309,22046.21,23760.494,24093.742
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","IM:Isle of Man",Q:S:IT:4R:U:C:A:A:TO1:F:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.899,6.896,61.464,\,\,-,\
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:US:4R:U:C:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,377,406,485,609,540,530,847
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:5A:4R:F:I:A:U:TO1:A:IM,,,,,,,0,0,1463,1315,1497,1506,1735,1737,1868,1869,2172,2123,2323,2600,4769,6148,6072,5123,4330,4445,6510,5269,6188,7012,8242,8085,9267,10209,10316,7824,6814,7095,10323,10457,11002,11469,10617,10229,9759,8975,10032,8032,7777,7234,6777.697,7361.287,8044.592,7209.606,7354.532,7187.29,7540.281,7169.047,7143.432,6493.908,5891.152,5700.055,5169.767,4815.328
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","IM:Isle of Man",Q:S:GR:4R:F:B:A:A:LC1:A:IM,,,,,,,,,,,,,,,,,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:IT:4R:F:I:A:A:TO1:A:IM,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,689,\,\,\,\,\,\,\,\,\,\,\,654.448,638.353,683.018,\,602.499,565.42,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:GB:4R:F:C:A:A:TO1:A:IM,,,,,,,,,2163,2104,2687,2868,3084,2815,3308,3690,3934,4211,3818,4031,6044,7501,6768,5538,4489,5975,8002,7889,9317,10462,11047,12210,12893,14378,13883,13485,10703,16125,18250,18323,18475,12206,11340,11722,11633,12173,10983,8754,8747,8847,9239,10249,10042,8893,8334,8764,9807,9877,9761,8106,8488,8204,9752,9476
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:JP:4R:Q:C:A:A:TO1:A:IM,,,,,,,0,0,0,0,-10,-24,0,0,0,0,0,0,0,0,-107,-140,-28,-60,-200,-268,-312,-323,-732,-744,-756,-663,-707,-1011,-1178,-1180,-1324,-1315,-391,-1443,-1394,-1242,-1079,-1070,-993,-953,-880,-867,-805,-839,-846,-831,-728,-638,-310,-304,-286.2,-255.6,-258.2,-344.4,-333.9,-356.8,-465,-423.4
"Q:Quarterly","S:Amounts outstanding / Stocks","BR:Brazil","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:BR:4R:F:I:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,31,16,16,16,16
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:AU:4R:F:I:A:U:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,44,38,6,7,6,-,24,77,80.697,117.287,139.592,76.606,77.532,69.29,69.022,44.285,55.257,30.933,27.069,1.357,1.358,0.67
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","IM:Isle of Man",Q:S:SE:4R:U:C:A:A:TO1:F:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,7.65,\,6.206,5.928
"Q:Quarterly","S:Amounts outstanding / Stocks","NL:Netherlands","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:NL:4R:U:C:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,111,125,99,182,162,94,149,288,207,717,276,157,412,489,312,327,187,173,305,283,398,331,388,456,533,555,549,465,544,417,452,458,502,665,440,519.921,591.505,519.004,520.936,741.815,794.014,695.956,861.511
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:IT:4R:U:C:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,367,\,\,\,\,\,\,\,\,\,\,\,422.686,412.313,462.643,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:CH:4R:U:C:V:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3.707,1.78,3.551,7.86,12.083,10.228,8.365,27.935
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:GB:4R:U:W:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,681,627,543,630,565,629,564,524,1065,490,389,374,378,364,321,262,279,321,304,302,282,283,317,274,252,286,234,235,209,1374,1273,1518,1553,1565,1700,1727,1736,1676,1885,1367,1287,1071,1048
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:CH:4R:F:I:A:A:TO1:A:IM,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1211.954,1343.782,1393.247,1331.447,1215.725,1497.072,1290.892,1358.987
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:BE:4R:Q:C:A:A:TO1:A:IM,,,,,,,,,,,,,-10,-,-,16,16,-,17,-,21,15,15,17,17,24,48,41,10,7,43,34,83,50,100,61,8,7,101,104,0
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:DE:4R:U:C:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,4936,\,\,\,\,\,\,\,\,\,\,\,3368,3242,3115,2928,2674,3011,2501,2504
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:AT:4R:F:I:A:A:TO1:A:IM,,,,,,,,0,56,54,57,61,65,61,61,63,74,62,66,57,52,53,58,53,86,74,89,112,111,111,144,37,37,54,300,367,339,126,309,306,383,372,323,358,326,355,367,367,214,247,222,117,169,83,104,94,89.491,82.982,80.559,70.558,68.325,30.384,30.162,30.611
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:ES:4R:F:I:A:U:TO1:A:IM,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,93.8,346.234,426.431,446.958
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","IM:Isle of Man",Q:S:5A:4O:F:B:A:A:LC1:A:IM,,,,,,,0,0,299,401,582,1140,1270,1117,1280,1596,1707,1929,1265,1356,1407,1342,899,748,995,2342,3176,3536,3637,4132,4668,5291,5472,6095,6251,6558,4809,9561,10711,10605,10827,4701,4687,4919,5093,4568,5361,4504,3772,4247,4366,4304,4402,3834,3558,3636,4314.109,5171.652,5241.839,4635.576,4475.621,4352.944,4547.908,4271.061
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:ES:4R:F:I:A:A:TO1:A:IM,,,,,,,,,33,5,2,4,52,5,40,40,37,8,6,82,95,105,100,90,91,107,135,137,90,92,103,100,102,35,37,23,60,310,584,670,727,637,720,919,925,1005,869,866,832,596,582,840,600,570,568,622,711,801.499,921.083,1182.164,825.766,771.247,958.863,1003.82
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:FI:4R:F:I:A:U:TO1:A:IM,,,,,,,,,4,3,-,-,-,-,-,0,0,\,\,\,\,-,-,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,0,0,-,0,\,\,\,0,\,\,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","IM:Isle of Man",Q:S:JP:4R:F:B:A:A:LC1:A:IM,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26,26,36,36,38,38,37,37,40,35,29,29,33,32,32,30,30,31,31,32,32,31,31,32,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","IM:Isle of Man",Q:S:DE:4R:U:C:A:A:TO1:O:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,5,1,4,4
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","IM:Isle of Man",Q:S:KR:4R:U:C:A:A:TO1:R:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.731,113.026,110.309,107.58,104.839,102.085,99.319
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:KR:4R:F:I:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.731,113.026,110.309,107.58,104.839,102.085,99.319
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","IM:Isle of Man",Q:S:IT:4R:U:C:A:A:TO1:R:IM,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,367,\,\,\,\,\,\,\,\,\,\,\,422.686,412.313,462.643,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:AU:4R:U:C:V:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,11,3,5,5,1,1,1,3.432,4.746,3.41,2.368,2.499,2.242,-,0.674,-,0.864,2.922,3.104,0.401,0.812
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:GB:4R:F:I:A:U:TO1:A:IM,,,,,,,,,729,605,886,841,1025,939,913,867,970,934,1090,1265,2784,4180,3915,3051,2007,1833,2561,2244,2374,3058,3479,3704,4079,4957,4496,3534,2861,3093,3944,4312,4176,4169,4215,4391,4332,4141,3198,2460,2678,2223,2722,3575,3363,2934,3117,3308,3499,2903,2953,1983,1956,1883,1766,1080
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:JP:4R:F:C:A:A:TO1:A:IM,,,,,,,0,0,0,0,55,72,48,48,47,44,45,46,44,42,108,141,35,66,206,300,355,405,861,875,899,827,874,1225,1433,1438,1386,1370,1522,1526,1491,1345,1200,1231,1164,1151,1044,1024,955,1016,953,930,821,747,628,596,577,557,589,486,474.8,743,777.4,731.6
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","IM:Isle of Man",Q:S:FR:4R:U:C:A:A:TO1:R:IM,,,,,,,,,,,,,,,,,,,,,,277,206,202,265,306,1076,257,317,373,397,458,368,495,939,450,603,538,668,588,743,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,903
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","IM:Isle of Man",Q:S:5A:4R:U:C:A:A:TO1:O:IM,,,,,,,,,,,,,,,,,,,,,,152,24,216,251,382,422,418,474,481,525,578,589,588,863,401,321,355,425,393,284,275,269,280,389,394,409,421,417,412,409,422,423,413,56,3,6,4,643,778,353.002,349,374,142
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:AT:4R:Q:C:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,\,\,\,-28.671,-28.901,-29.332
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","IM:Isle of Man",Q:S:GB:4R:U:C:A:A:TO1:O:IM,,,,,,,,,,,,,,,,,,,,,,132,4,186,230,382,422,418,474,481,524,577,589,588,581,380,321,355,425,393,284,267,269,277,388,391,406,410,414,406,405,417,417,402,55,2,3,-,638,768,339,330,348,114
"Q:Quarterly","S:Amounts outstanding / Stocks","BR:Brazil","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:BR:4R:F:C:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,31,16,16,16,16
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","IM:Isle of Man",Q:S:AU:4R:U:C:A:A:TO1:R:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,98,99,63,65,67,64,85,89,88.494,93.253,136.311,26.006,105.758,118.956,137.058,118.36,106.083,77.998,69.085,74.191,200.068,190.015
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:TW:4R:F:I:A:U:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,2,-,-,-,-,-,-,-,-,-,-,-,12,15,5,5,6,6,15,20,20,19,5,5,8,-,-,3,3,2,-,-,-,-,44,44,53,44,1,1,1
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:SE:4R:U:C:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,,80,139,142,89,90,86,89,67,64,67,122,170,197,183,156,218,277,253,247,258,170,179,188,138,189,106,110,179,219,107,103,169,233,243,\,\,\,\,250.406,\,203.317,190.349
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:KR:4R:U:C:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.731,113.026,110.309,107.58,104.839,102.085,99.319
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","IM:Isle of Man",Q:S:BE:4R:U:C:A:A:TO1:B:IM,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,-,1,12,-,2,1,2,2,1,1,1,-,-,-,-,-,-,-,2,2,1,3,3,2,1,1,3,1
