BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Russia"
"Country: Russia"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RU:Russia",Q:S:GB:4R:F:C:A:A:TO1:A:RU,,,,,474,-,484,-,377,-,346,-,404,-,584,-,967,-,1834,-,990,-,968,-,667,716,636,685,726,694,751,542,610,579,584,521,583,713,758,1042,1137,1290,1347,1442,1683,1931,1874,2395,2930,5276,5238,6036,6926,9149,10568,11016,11416,12708,12807,12295,8242,8156,10278,10898,8313,9247,11334,13426,12944,13307,12434,11099,13907,16347,13297,20430,17916,24187,18792,19514,17806,16783,14717,15419,10699,9309,8450,8320
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","RU:Russia",Q:S:GR:4R:U:C:A:A:TO1:F:RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4,4,4,3,6,6,6
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RU:Russia",Q:S:JP:4R:Q:C:A:A:TO1:A:RU,,,,,,,,,,,,,,,,,,,,,,,-24,-,-19,-53,-13,-11,-6,-1,-22,-39,-57,-50,-41,-79,-68,-110,-121,-168,-230,-251,-293,-386,-154,-158,-162,352,968,932,962,846,882,1127,1046,1046,1885,1996,1692,1441,1765,1779,1657,1530,1682,613,780,1137,703,760,343,330,-806,116,197,366,333,276,-272,-582,-123.6,-320.7,-810.4,-1143.7,-1334.8,-725.3,-580.3,-699.2
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RU:Russia",Q:S:IT:4R:U:X:A:A:TO1:A:RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,725,\,\,\,\,\,\,\,\,\,\,\,1176.671,1321.898,1268.042,677,1522.787,1100.824,1080.956,1384.822
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RU:Russia",Q:S:JP:4R:U:W:A:A:TO1:A:RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,111,132,156,961,1127,544,754,808,894,1111,1522,1314,1296,1744,1906,1716,1738,1693,1432,1364,1154,318,400,410,454,570,540,645,665,1039,878,960,1134,1265,1167.6,892.9,1196.7,1229.8,674.3,728.8,573.4,492.6
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RU:Russia",Q:S:DE:4R:Q:C:A:A:TO1:A:RU,,,,,,,,,,,,,,,,,,,,,,,-499,-,553,815,-6452,-5843,-5629,-5022,-6071,-7012,-7076,-5316,-4542,-4838,-4929,-5391,-5358,-7167,-8679,-10214,-9923,-8134,-9802,-11478,-14472,-18030,-21058,-23940,-18872,-18378,-18571,-17530,-17434,-17649,-12317,-7604,-5167,-6125,-357,4797,-4163,-966,-2928,-1965,-1050,-5023,-1336,-1474,-3950,-1071,-1333,1115,-272,581,911,879,2241,1215,-4178,-5714,-3866,-3423,-4336,-2183,-1058,-2075
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","RU:Russia",Q:S:JP:4R:U:C:V:A:TO1:A:RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,6,0,5,0,6,14,82,21,22,78,117,68,86,78,79,82,94,71,60,59,127,132,87,88,90,88,84,55,62,116.2,120.5,117.8,115.6,130.7,115.5,116.2,98.5
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","RU:Russia",Q:S:AU:4R:U:C:A:A:TO1:B:RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,43,37,72,26,17,4,2,23.776,4.241,34.7,39.152,20.445,47.927,38.527,64.675,45.297,0.539,0.236,0.011,0.001,0.001
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","RU:Russia",Q:S:5A:4R:F:I:A:U:TO1:A:RU,7190,-,13089,-,15490,-,20189,-,18806,-,19973,-,23450,-,35367,-,29226,-,31061,-,15191,-,12777,-,9880,9590,10750,9525,9811,9297,10236,11440,13090,16997,11262,11376,12327,12934,13045,15622,19612,20850,20607,20967,23782,23628,28599,32723,39315,43854,38581,39832,42460,53877,65430,76476,88535,89686,93053,88955,73164,70889,78293,65287,57630,54195,52044,55836,58237,59901,62494,58288,58917,59448,58959.797,66604.686,69081.711,75096.511,70547.542,75053.428,68770.045,66264.785,61919.939,58433.6,44556.683,34619.042,32717.584,31889.033
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RU:Russia",Q:S:AT:4R:F:I:A:A:TO1:A:RU,2668,-,2904,-,2818,-,3547,-,3581,-,3462,-,3355,-,3822,-,3584,-,4041,-,3563,-,2973,-,2951,2704,3093,2923,2925,2686,1066,1170,1208,1127,1122,1346,1676,1732,1895,1744,2056,2233,2068,2153,2441,2458,4554,4898,5292,5514,5297,5815,6875,6965,7402,8363,9115,10294,11177,11838,13641,14167,11877,7319,7061,6243,6102,6276,\,\,\,\,\,\,8044,\,\,\,\,\,7603.66,7478.868,7506.241,7765.717,8449.555,6931.219,6750.753,5947.511
