BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Netherlands"
"Country: Netherlands"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:CA:4R:F:I:A:U:TO1:A:NL,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,5192,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2765.052,4011.189,3832.645,3959.744
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:SE:4R:U:X:A:A:TO1:A:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253,1229,1335,1117,935,997,1407,1256,1177,1104,1599,1720,1843,1794,1364,1311,1499,1352,1465,1322,1040,1398,1304,1329,1330,1141,1380,1424,1202,1011,1385,1656,2015,1649,1800.497,1860.33,2182.206,2619.451,2418.267,2276.776,2366.946,2107.677
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:JP:4R:U:X:A:A:TO1:A:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784,2084,2539,2998,2845,2932,2995,3974,4371,4557,4073,3783,4008,3874,5070,4028,3873,4064,4115,3826,3849,3510,3831,3953,4398,4754,4504,4743,4795,4982,5003,4710,6176,5301,5520,5199.8,5326.9,5317.3,6174.2,6203.8,5687.6,5790.9,6441.4
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:DE:4R:U:X:A:A:TO1:A:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,14186,\,\,\,\,\,\,\,\,\,\,\,15170,14566,9358,9252,9493,7868,8547,9150
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","NL:Netherlands",Q:S:IT:4R:U:C:A:A:TO1:F:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,6123.344,6001.197,4681.108,4997.125,4592.366
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","NL:Netherlands",Q:S:AU:4R:F:B:A:A:LC1:A:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.932
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","NL:Netherlands",Q:S:SE:4R:F:B:A:A:LC1:A:NL,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2005,2191,2520,3066,3645,3780,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:KR:4R:U:C:A:A:TO1:A:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.063,724.795,921.303,882.612,937.157,823.482,1066.036,1127.575
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","NL:Netherlands",Q:S:TW:4R:U:C:A:A:TO1:B:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,453,912,1748,994,1141,1435,1730,1155,2124,1625,1864,1851,997,1523,920,1622,1479,1234,1083,959,1003,952,725,776,958,754,918,1100,1248,1480,1643,1545,1495,1660,1881,2310,2153,2280,1905,1892,2001,2172
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:AT:4R:Q:C:A:A:TO1:A:NL,,,,,,,,,,,,,,,\,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-214.034,-226.77,-125.409
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:FR:4R:Q:C:A:A:TO1:A:NL,,,,,,,,,,,,,,,,,,,,,,,225,1761,-341,3866,4021,2884,8528,6384,9068,6111,3905,1906,1684,-2013,5178,4645,2127,4773,4891,5953,2609,-1007,1224,-3389,-5664,-5183,-2700,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-951
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:CA:4R:U:W:A:A:TO1:A:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1202,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,523.056,535.073,682.011,613.872
"Q:Quarterly","S:Amounts outstanding / Stocks","CL:Chile","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","NL:Netherlands",Q:S:CL:4R:U:C:A:A:TO1:R:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,2,-,-,-,1,2,21,1,2,2,2,2,1,1,1,3,-,3,2,1,3,-,2,2,5,4,3,2,3,3,6,21.351,34.479,127.504,42.128,38.056,13.184,10.691
"Q:Quarterly","S:Amounts outstanding / Stocks","CL:Chile","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:CL:4R:F:C:A:A:TO1:A:NL,,,,,,,,,,,,,,,,,,,,,2,-,-,-,7,7,-,-,-,-,2,2,1,-,4,2,-,2,8,17,21,17,19,19,3,2,5,3,3,6,6,28,6,2,10,-,66,2,5,25,23,44,47,36,55,84.317,108.422,188.951,89.792,157.637,55.766,52.326
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:CH:4R:F:I:A:U:TO1:A:NL,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,15796.063,14589.369,16090.469,16450.837,14448.72,16094.241,13205.559,13896.613
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:CA:4R:Q:C:A:A:TO1:A:NL,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-793.877,-1139.174,-1032.821
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:FR:4R:U:X:A:A:TO1:A:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10729,14922,13870,13857,16603,20128,16005,20107,24433,23393,30000,26177,27324,29633,21212,18351,20435,20766,17346,15847,\,\,\,17389,18699,19563,16853,14105,16114,16114,16018,13720,19634,16794,18485,16041,22786,18545,19275,17337,17795,18701,16369
